model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
convnext_base,fgsm,0.00392156862745098,n01773549,barn_spider,50,0.6,0.32,0.28,0.4667,0
convnext_base,fgsm,0.00392156862745098,n01775062,wolf_spider,50,0.72,0.46,0.26,0.3611,1
convnext_base,fgsm,0.00392156862745098,n01773797,garden_spider,50,0.6,0.44,0.16,0.2667,1
convnext_base,fgsm,0.00392156862745098,n01774384,black_widow,50,0.9,0.8,0.1,0.1111,1
convnext_base,fgsm,0.00392156862745098,n01773157,black_and_gold_garden_spider,50,0.96,0.88,0.08,0.0833,1
convnext_base,fgsm,0.00392156862745098,n01774750,tarantula,50,0.98,0.94,0.04,0.0408,1
convnext_base,fgsm,0.00784313725490196,n01773549,barn_spider,50,0.6,0.22,0.38,0.6333,0
convnext_base,fgsm,0.00784313725490196,n01775062,wolf_spider,50,0.72,0.34,0.38,0.5278,1
convnext_base,fgsm,0.00784313725490196,n01773797,garden_spider,50,0.6,0.3,0.3,0.5,1
convnext_base,fgsm,0.00784313725490196,n01773157,black_and_gold_garden_spider,50,0.96,0.8,0.16,0.1667,1
convnext_base,fgsm,0.00784313725490196,n01774384,black_widow,50,0.9,0.76,0.14,0.1556,1
convnext_base,fgsm,0.00784313725490196,n01774750,tarantula,50,0.98,0.9,0.08,0.0816,1
convnext_base,fgsm,0.01568627450980392,n01775062,wolf_spider,50,0.72,0.24,0.48,0.6667,1
convnext_base,fgsm,0.01568627450980392,n01773549,barn_spider,50,0.6,0.14,0.46,0.7667,0
convnext_base,fgsm,0.01568627450980392,n01773797,garden_spider,50,0.6,0.18,0.42,0.7,1
convnext_base,fgsm,0.01568627450980392,n01774384,black_widow,50,0.9,0.7,0.2,0.2222,1
convnext_base,fgsm,0.01568627450980392,n01773157,black_and_gold_garden_spider,50,0.96,0.78,0.18,0.1875,1
convnext_base,fgsm,0.01568627450980392,n01774750,tarantula,50,0.98,0.88,0.1,0.102,1
convnext_base,fgsm,0.03137254901960784,n01775062,wolf_spider,50,0.72,0.2,0.52,0.7222,1
convnext_base,fgsm,0.03137254901960784,n01773549,barn_spider,50,0.6,0.1,0.5,0.8333,0
convnext_base,fgsm,0.03137254901960784,n01773157,black_and_gold_garden_spider,50,0.96,0.48,0.48,0.5,1
convnext_base,fgsm,0.03137254901960784,n01773797,garden_spider,50,0.6,0.14,0.46,0.7667,1
convnext_base,fgsm,0.03137254901960784,n01774384,black_widow,50,0.9,0.68,0.22,0.2444,1
convnext_base,fgsm,0.03137254901960784,n01774750,tarantula,50,0.98,0.78,0.2,0.2041,1
convnext_base,pgd,0.00392156862745098,n01773549,barn_spider,50,0.6,0.06,0.54,0.9,0
convnext_base,pgd,0.00392156862745098,n01773797,garden_spider,50,0.6,0.22,0.38,0.6333,1
convnext_base,pgd,0.00392156862745098,n01773157,black_and_gold_garden_spider,50,0.96,0.6,0.36,0.375,1
convnext_base,pgd,0.00392156862745098,n01775062,wolf_spider,50,0.72,0.36,0.36,0.5,1
convnext_base,pgd,0.00392156862745098,n01774384,black_widow,50,0.9,0.56,0.34,0.3778,1
convnext_base,pgd,0.00392156862745098,n01774750,tarantula,50,0.98,0.78,0.2,0.2041,1
convnext_base,pgd,0.00784313725490196,n01773157,black_and_gold_garden_spider,50,0.96,0.22,0.74,0.7708,1
convnext_base,pgd,0.00784313725490196,n01774384,black_widow,50,0.9,0.2,0.7,0.7778,1
convnext_base,pgd,0.00784313725490196,n01775062,wolf_spider,50,0.72,0.04,0.68,0.9444,1
convnext_base,pgd,0.00784313725490196,n01773549,barn_spider,50,0.6,0.0,0.6,1.0,0
convnext_base,pgd,0.00784313725490196,n01773797,garden_spider,50,0.6,0.06,0.54,0.9,1
convnext_base,pgd,0.00784313725490196,n01774750,tarantula,50,0.98,0.48,0.5,0.5102,1
convnext_base,pgd,0.01568627450980392,n01773157,black_and_gold_garden_spider,50,0.96,0.0,0.96,1.0,1
convnext_base,pgd,0.01568627450980392,n01774384,black_widow,50,0.9,0.02,0.88,0.9778,1
convnext_base,pgd,0.01568627450980392,n01774750,tarantula,50,0.98,0.12,0.86,0.8776,1
convnext_base,pgd,0.01568627450980392,n01775062,wolf_spider,50,0.72,0.0,0.72,1.0,1
convnext_base,pgd,0.01568627450980392,n01773549,barn_spider,50,0.6,0.0,0.6,1.0,0
convnext_base,pgd,0.01568627450980392,n01773797,garden_spider,50,0.6,0.0,0.6,1.0,1
convnext_base,pgd,0.03137254901960784,n01774750,tarantula,50,0.98,0.0,0.98,1.0,1
convnext_base,pgd,0.03137254901960784,n01773157,black_and_gold_garden_spider,50,0.96,0.0,0.96,1.0,1
convnext_base,pgd,0.03137254901960784,n01774384,black_widow,50,0.9,0.0,0.9,1.0,1
convnext_base,pgd,0.03137254901960784,n01775062,wolf_spider,50,0.72,0.0,0.72,1.0,1
convnext_base,pgd,0.03137254901960784,n01773549,barn_spider,50,0.6,0.0,0.6,1.0,0
convnext_base,pgd,0.03137254901960784,n01773797,garden_spider,50,0.6,0.0,0.6,1.0,1
