model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,fgsm,0.00392156862745098,n01775062,wolf_spider,50,0.74,0.66,0.08,0.1081,1
maxvit_t,fgsm,0.00392156862745098,n01773549,barn_spider,50,0.58,0.52,0.06,0.1034,0
maxvit_t,fgsm,0.00392156862745098,n01773797,garden_spider,50,0.6,0.54,0.06,0.1,1
maxvit_t,fgsm,0.00392156862745098,n01773157,black_and_gold_garden_spider,50,0.96,0.92,0.04,0.0417,1
maxvit_t,fgsm,0.00392156862745098,n01774750,tarantula,50,0.98,0.96,0.02,0.0204,1
maxvit_t,fgsm,0.00392156862745098,n01774384,black_widow,50,0.9,0.9,0.0,0.0,1
maxvit_t,fgsm,0.00784313725490196,n01773549,barn_spider,50,0.58,0.36,0.22,0.3793,0
maxvit_t,fgsm,0.00784313725490196,n01773797,garden_spider,50,0.6,0.38,0.22,0.3667,1
maxvit_t,fgsm,0.00784313725490196,n01774384,black_widow,50,0.9,0.78,0.12,0.1333,1
maxvit_t,fgsm,0.00784313725490196,n01775062,wolf_spider,50,0.74,0.64,0.1,0.1351,1
maxvit_t,fgsm,0.00784313725490196,n01774750,tarantula,50,0.98,0.9,0.08,0.0816,1
maxvit_t,fgsm,0.00784313725490196,n01773157,black_and_gold_garden_spider,50,0.96,0.92,0.04,0.0417,1
maxvit_t,fgsm,0.01568627450980392,n01775062,wolf_spider,50,0.74,0.3,0.44,0.5946,1
maxvit_t,fgsm,0.01568627450980392,n01773797,garden_spider,50,0.6,0.24,0.36,0.6,1
maxvit_t,fgsm,0.01568627450980392,n01773549,barn_spider,50,0.58,0.26,0.32,0.5517,0
maxvit_t,fgsm,0.01568627450980392,n01774750,tarantula,50,0.98,0.66,0.32,0.3265,1
maxvit_t,fgsm,0.01568627450980392,n01774384,black_widow,50,0.9,0.62,0.28,0.3111,1
maxvit_t,fgsm,0.01568627450980392,n01773157,black_and_gold_garden_spider,50,0.96,0.88,0.08,0.0833,1
maxvit_t,fgsm,0.03137254901960784,n01775062,wolf_spider,50,0.74,0.24,0.5,0.6757,1
maxvit_t,fgsm,0.03137254901960784,n01774384,black_widow,50,0.9,0.42,0.48,0.5333,1
maxvit_t,fgsm,0.03137254901960784,n01773797,garden_spider,50,0.6,0.16,0.44,0.7333,1
maxvit_t,fgsm,0.03137254901960784,n01773549,barn_spider,50,0.58,0.16,0.42,0.7241,0
maxvit_t,fgsm,0.03137254901960784,n01774750,tarantula,50,0.98,0.56,0.42,0.4286,1
maxvit_t,fgsm,0.03137254901960784,n01773157,black_and_gold_garden_spider,50,0.96,0.82,0.14,0.1458,1
maxvit_t,pgd,0.00392156862745098,n01775062,wolf_spider,50,0.74,0.26,0.48,0.6486,1
maxvit_t,pgd,0.00392156862745098,n01773797,garden_spider,50,0.6,0.16,0.44,0.7333,1
maxvit_t,pgd,0.00392156862745098,n01773549,barn_spider,50,0.58,0.18,0.4,0.6897,0
maxvit_t,pgd,0.00392156862745098,n01774750,tarantula,50,0.98,0.62,0.36,0.3673,1
maxvit_t,pgd,0.00392156862745098,n01774384,black_widow,50,0.9,0.56,0.34,0.3778,1
maxvit_t,pgd,0.00392156862745098,n01773157,black_and_gold_garden_spider,50,0.96,0.88,0.08,0.0833,1
maxvit_t,pgd,0.00784313725490196,n01774384,black_widow,50,0.9,0.26,0.64,0.7111,1
maxvit_t,pgd,0.00784313725490196,n01774750,tarantula,50,0.98,0.34,0.64,0.6531,1
maxvit_t,pgd,0.00784313725490196,n01775062,wolf_spider,50,0.74,0.12,0.62,0.8378,1
maxvit_t,pgd,0.00784313725490196,n01773797,garden_spider,50,0.6,0.06,0.54,0.9,1
maxvit_t,pgd,0.00784313725490196,n01773549,barn_spider,50,0.58,0.06,0.52,0.8966,0
maxvit_t,pgd,0.00784313725490196,n01773157,black_and_gold_garden_spider,50,0.96,0.62,0.34,0.3542,1
maxvit_t,pgd,0.01568627450980392,n01774750,tarantula,50,0.98,0.22,0.76,0.7755,1
maxvit_t,pgd,0.01568627450980392,n01775062,wolf_spider,50,0.74,0.04,0.7,0.9459,1
maxvit_t,pgd,0.01568627450980392,n01774384,black_widow,50,0.9,0.24,0.66,0.7333,1
maxvit_t,pgd,0.01568627450980392,n01773157,black_and_gold_garden_spider,50,0.96,0.34,0.62,0.6458,1
maxvit_t,pgd,0.01568627450980392,n01773797,garden_spider,50,0.6,0.04,0.56,0.9333,1
maxvit_t,pgd,0.01568627450980392,n01773549,barn_spider,50,0.58,0.06,0.52,0.8966,0
maxvit_t,pgd,0.03137254901960784,n01774750,tarantula,50,0.98,0.12,0.86,0.8776,1
maxvit_t,pgd,0.03137254901960784,n01773157,black_and_gold_garden_spider,50,0.96,0.18,0.78,0.8125,1
maxvit_t,pgd,0.03137254901960784,n01774384,black_widow,50,0.9,0.16,0.74,0.8222,1
maxvit_t,pgd,0.03137254901960784,n01775062,wolf_spider,50,0.74,0.02,0.72,0.973,1
maxvit_t,pgd,0.03137254901960784,n01773797,garden_spider,50,0.6,0.04,0.56,0.9333,1
maxvit_t,pgd,0.03137254901960784,n01773549,barn_spider,50,0.58,0.06,0.52,0.8966,0
