model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,fgsm,0.00392156862745098,n04548362,wallet,50,0.8,0.56,0.24,0.3,1
maxvit_t,fgsm,0.00392156862745098,n01985128,crayfish,50,0.86,0.72,0.14,0.1628,1
maxvit_t,fgsm,0.00392156862745098,n01698640,American_alligator,50,0.96,0.9,0.06,0.0625,1
maxvit_t,fgsm,0.00392156862745098,n01755581,diamondback,50,0.94,0.9,0.04,0.0426,1
maxvit_t,fgsm,0.00392156862745098,n02422106,hartebeest,50,0.98,0.94,0.04,0.0408,0
maxvit_t,fgsm,0.00392156862745098,n04200800,shoe_shop,50,0.92,0.88,0.04,0.0435,1
maxvit_t,fgsm,0.00392156862745098,n02389026,sorrel,50,1.0,0.98,0.02,0.02,0
maxvit_t,fgsm,0.00392156862745098,n01820546,lorikeet,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n11939491,daisy,50,0.98,0.98,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n04548362,wallet,50,0.8,0.38,0.42,0.525,1
maxvit_t,fgsm,0.00784313725490196,n01985128,crayfish,50,0.86,0.5,0.36,0.4186,1
maxvit_t,fgsm,0.00784313725490196,n01755581,diamondback,50,0.94,0.74,0.2,0.2128,1
maxvit_t,fgsm,0.00784313725490196,n04200800,shoe_shop,50,0.92,0.78,0.14,0.1522,1
maxvit_t,fgsm,0.00784313725490196,n01698640,American_alligator,50,0.96,0.84,0.12,0.125,1
maxvit_t,fgsm,0.00784313725490196,n02422106,hartebeest,50,0.98,0.9,0.08,0.0816,0
maxvit_t,fgsm,0.00784313725490196,n02389026,sorrel,50,1.0,0.96,0.04,0.04,0
maxvit_t,fgsm,0.00784313725490196,n01820546,lorikeet,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n11939491,daisy,50,0.98,0.98,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.01568627450980392,n04548362,wallet,50,0.8,0.2,0.6,0.75,1
maxvit_t,fgsm,0.01568627450980392,n01985128,crayfish,50,0.86,0.32,0.54,0.6279,1
maxvit_t,fgsm,0.01568627450980392,n01755581,diamondback,50,0.94,0.52,0.42,0.4468,1
maxvit_t,fgsm,0.01568627450980392,n01698640,American_alligator,50,0.96,0.66,0.3,0.3125,1
maxvit_t,fgsm,0.01568627450980392,n04200800,shoe_shop,50,0.92,0.64,0.28,0.3043,1
maxvit_t,fgsm,0.01568627450980392,n02422106,hartebeest,50,0.98,0.78,0.2,0.2041,0
maxvit_t,fgsm,0.01568627450980392,n02389026,sorrel,50,1.0,0.88,0.12,0.12,0
maxvit_t,fgsm,0.01568627450980392,n01820546,lorikeet,50,1.0,0.9,0.1,0.1,0
maxvit_t,fgsm,0.01568627450980392,n11939491,daisy,50,0.98,0.96,0.02,0.0204,0
maxvit_t,fgsm,0.01568627450980392,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.03137254901960784,n01985128,crayfish,50,0.86,0.2,0.66,0.7674,1
