model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,fgsm,0.00392156862745098,n03995372,power_drill,50,0.82,0.58,0.24,0.2927,1
maxvit_t,fgsm,0.00392156862745098,n03908618,pencil_box,50,0.86,0.68,0.18,0.2093,1
maxvit_t,fgsm,0.00392156862745098,n04209239,shower_curtain,50,0.82,0.66,0.16,0.1951,1
maxvit_t,fgsm,0.00392156862745098,n01697457,African_crocodile,50,0.86,0.78,0.08,0.093,1
maxvit_t,fgsm,0.00392156862745098,n10148035,groom,50,0.86,0.8,0.06,0.0698,1
maxvit_t,fgsm,0.00392156862745098,n01537544,indigo_bunting,50,0.94,0.92,0.02,0.0213,0
maxvit_t,fgsm,0.00392156862745098,n03841143,odometer,50,1.0,0.98,0.02,0.02,0
maxvit_t,fgsm,0.00392156862745098,n01820546,lorikeet,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n13044778,earthstar,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n03995372,power_drill,50,0.82,0.48,0.34,0.4146,1
maxvit_t,fgsm,0.00784313725490196,n04209239,shower_curtain,50,0.82,0.52,0.3,0.3659,1
maxvit_t,fgsm,0.00784313725490196,n03908618,pencil_box,50,0.86,0.62,0.24,0.2791,1
maxvit_t,fgsm,0.00784313725490196,n10148035,groom,50,0.86,0.7,0.16,0.186,1
maxvit_t,fgsm,0.00784313725490196,n01697457,African_crocodile,50,0.86,0.74,0.12,0.1395,1
maxvit_t,fgsm,0.00784313725490196,n01537544,indigo_bunting,50,0.94,0.9,0.04,0.0426,0
maxvit_t,fgsm,0.00784313725490196,n03841143,odometer,50,1.0,0.98,0.02,0.02,0
maxvit_t,fgsm,0.00784313725490196,n01820546,lorikeet,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n13044778,earthstar,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.01568627450980392,n03995372,power_drill,50,0.82,0.28,0.54,0.6585,1
maxvit_t,fgsm,0.01568627450980392,n03908618,pencil_box,50,0.86,0.44,0.42,0.4884,1
maxvit_t,fgsm,0.01568627450980392,n04209239,shower_curtain,50,0.82,0.42,0.4,0.4878,1
maxvit_t,fgsm,0.01568627450980392,n10148035,groom,50,0.86,0.5,0.36,0.4186,1
maxvit_t,fgsm,0.01568627450980392,n01697457,African_crocodile,50,0.86,0.62,0.24,0.2791,1
maxvit_t,fgsm,0.01568627450980392,n01537544,indigo_bunting,50,0.94,0.84,0.1,0.1064,0
maxvit_t,fgsm,0.01568627450980392,n03841143,odometer,50,1.0,0.9,0.1,0.1,0
maxvit_t,fgsm,0.01568627450980392,n01820546,lorikeet,50,1.0,0.92,0.08,0.08,0
maxvit_t,fgsm,0.01568627450980392,n13044778,earthstar,50,1.0,0.96,0.04,0.04,0
maxvit_t,fgsm,0.01568627450980392,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.03137254901960784,n03995372,power_drill,50,0.82,0.12,0.7,0.8537,1
maxvit_t,fgsm,0.03137254901960784,n03908618,pencil_box,50,0.86,0.3,0.56,0.6512,1
maxvit_t,fgsm,0.03137254901960784,n10148035,groom,50,0.86,0.38,0.48,0.5581,1
maxvit_t,fgsm,0.03137254901960784,n01697457,African_crocodile,50,0.86,0.4,0.46,0.5349,1
maxvit_t,fgsm,0.03137254901960784,n04209239,shower_curtain,50,0.82,0.36,0.46,0.561,1
maxvit_t,fgsm,0.03137254901960784,n13044778,earthstar,50,1.0,0.72,0.28,0.28,0
