model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,fgsm,0.00392156862745098,n03995372,power_drill,50,0.82,0.54,0.28,0.3415,1
maxvit_t,fgsm,0.00392156862745098,n02105855,Shetland_sheepdog,50,0.9,0.72,0.18,0.2,1
maxvit_t,fgsm,0.00392156862745098,n04597913,wooden_spoon,50,0.84,0.66,0.18,0.2143,1
maxvit_t,fgsm,0.00392156862745098,n07711569,mashed_potato,50,0.8,0.66,0.14,0.175,1
maxvit_t,fgsm,0.00392156862745098,n01498041,stingray,50,0.9,0.9,0.0,0.0,1
maxvit_t,fgsm,0.00392156862745098,n02013706,limpkin,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n02116738,African_hunting_dog,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n03733131,maypole,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n13044778,earthstar,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n03995372,power_drill,50,0.82,0.4,0.42,0.5122,1
maxvit_t,fgsm,0.00784313725490196,n02105855,Shetland_sheepdog,50,0.9,0.5,0.4,0.4444,1
maxvit_t,fgsm,0.00784313725490196,n04597913,wooden_spoon,50,0.84,0.44,0.4,0.4762,1
maxvit_t,fgsm,0.00784313725490196,n07711569,mashed_potato,50,0.8,0.58,0.22,0.275,1
maxvit_t,fgsm,0.00784313725490196,n01498041,stingray,50,0.9,0.76,0.14,0.1556,1
maxvit_t,fgsm,0.00784313725490196,n02013706,limpkin,50,1.0,0.96,0.04,0.04,0
maxvit_t,fgsm,0.00784313725490196,n02116738,African_hunting_dog,50,1.0,0.98,0.02,0.02,0
maxvit_t,fgsm,0.00784313725490196,n03733131,maypole,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n13044778,earthstar,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.01568627450980392,n03995372,power_drill,50,0.82,0.2,0.62,0.7561,1
maxvit_t,fgsm,0.01568627450980392,n02105855,Shetland_sheepdog,50,0.9,0.34,0.56,0.6222,1
maxvit_t,fgsm,0.01568627450980392,n04597913,wooden_spoon,50,0.84,0.3,0.54,0.6429,1
maxvit_t,fgsm,0.01568627450980392,n07711569,mashed_potato,50,0.8,0.34,0.46,0.575,1
maxvit_t,fgsm,0.01568627450980392,n01498041,stingray,50,0.9,0.54,0.36,0.4,1
maxvit_t,fgsm,0.01568627450980392,n03733131,maypole,50,1.0,0.84,0.16,0.16,0
maxvit_t,fgsm,0.01568627450980392,n02013706,limpkin,50,1.0,0.92,0.08,0.08,0
maxvit_t,fgsm,0.01568627450980392,n02116738,African_hunting_dog,50,1.0,0.92,0.08,0.08,0
maxvit_t,fgsm,0.01568627450980392,n13044778,earthstar,50,1.0,0.92,0.08,0.08,0
maxvit_t,fgsm,0.01568627450980392,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.03137254901960784,n03995372,power_drill,50,0.82,0.14,0.68,0.8293,1
maxvit_t,fgsm,0.03137254901960784,n07711569,mashed_potato,50,0.8,0.16,0.64,0.8,1
maxvit_t,fgsm,0.03137254901960784,n02105855,Shetland_sheepdog,50,0.9,0.3,0.6,0.6667,1
maxvit_t,fgsm,0.03137254901960784,n04597913,wooden_spoon,50,0.84,0.24,0.6,0.7143,1
