model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
resnet50,fgsm,0.00392156862745098,n02174001,rhinoceros_beetle,50,0.96,0.74,0.22,0.2292,1
resnet50,fgsm,0.00392156862745098,n03938244,pillow,50,0.9,0.68,0.22,0.2444,1
resnet50,fgsm,0.00392156862745098,n01697457,African_crocodile,50,0.82,0.66,0.16,0.1951,1
resnet50,fgsm,0.00392156862745098,n04208210,shovel,50,0.8,0.7,0.1,0.125,1
resnet50,fgsm,0.00392156862745098,n01698640,American_alligator,50,0.88,0.84,0.04,0.0455,1
resnet50,fgsm,0.00392156862745098,n02342885,hamster,50,1.0,0.96,0.04,0.04,0
resnet50,fgsm,0.00392156862745098,n01820546,lorikeet,50,0.98,0.96,0.02,0.0204,0
resnet50,fgsm,0.00392156862745098,n11879895,rapeseed,50,0.96,0.94,0.02,0.0208,0
resnet50,fgsm,0.00392156862745098,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
resnet50,fgsm,0.00784313725490196,n03938244,pillow,50,0.9,0.52,0.38,0.4222,1
resnet50,fgsm,0.00784313725490196,n01698640,American_alligator,50,0.88,0.56,0.32,0.3636,1
resnet50,fgsm,0.00784313725490196,n04208210,shovel,50,0.8,0.5,0.3,0.375,1
resnet50,fgsm,0.00784313725490196,n02174001,rhinoceros_beetle,50,0.96,0.7,0.26,0.2708,1
resnet50,fgsm,0.00784313725490196,n01697457,African_crocodile,50,0.82,0.58,0.24,0.2927,1
resnet50,fgsm,0.00784313725490196,n02342885,hamster,50,1.0,0.86,0.14,0.14,0
resnet50,fgsm,0.00784313725490196,n01820546,lorikeet,50,0.98,0.92,0.06,0.0612,0
resnet50,fgsm,0.00784313725490196,n11879895,rapeseed,50,0.96,0.94,0.02,0.0208,0
resnet50,fgsm,0.00784313725490196,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
resnet50,fgsm,0.01568627450980392,n01698640,American_alligator,50,0.88,0.44,0.44,0.5,1
resnet50,fgsm,0.01568627450980392,n04208210,shovel,50,0.8,0.36,0.44,0.55,1
resnet50,fgsm,0.01568627450980392,n03938244,pillow,50,0.9,0.5,0.4,0.4444,1
resnet50,fgsm,0.01568627450980392,n02174001,rhinoceros_beetle,50,0.96,0.64,0.32,0.3333,1
resnet50,fgsm,0.01568627450980392,n02342885,hamster,50,1.0,0.7,0.3,0.3,0
resnet50,fgsm,0.01568627450980392,n01697457,African_crocodile,50,0.82,0.6,0.22,0.2683,1
resnet50,fgsm,0.01568627450980392,n01820546,lorikeet,50,0.98,0.92,0.06,0.0612,0
resnet50,fgsm,0.01568627450980392,n11879895,rapeseed,50,0.96,0.94,0.02,0.0208,0
resnet50,fgsm,0.01568627450980392,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
resnet50,fgsm,0.03137254901960784,n01698640,American_alligator,50,0.88,0.3,0.58,0.6591,1
resnet50,fgsm,0.03137254901960784,n04208210,shovel,50,0.8,0.22,0.58,0.725,1
resnet50,fgsm,0.03137254901960784,n02174001,rhinoceros_beetle,50,0.96,0.54,0.42,0.4375,1
resnet50,fgsm,0.03137254901960784,n02342885,hamster,50,1.0,0.58,0.42,0.42,0
resnet50,fgsm,0.03137254901960784,n03938244,pillow,50,0.9,0.52,0.38,0.4222,1
resnet50,fgsm,0.03137254901960784,n01697457,African_crocodile,50,0.82,0.5,0.32,0.3902,1
resnet50,fgsm,0.03137254901960784,n01820546,lorikeet,50,0.98,0.9,0.08,0.0816,0
resnet50,fgsm,0.03137254901960784,n11879895,rapeseed,50,0.96,0.9,0.06,0.0625,0
resnet50,fgsm,0.03137254901960784,n12057211,yellow_lady's_slipper,50,1.0,1.0,0.0,0.0,0
resnet50,pgd,0.00392156862745098,n02342885,hamster,50,1.0,0.0,1.0,1.0,0
resnet50,pgd,0.00392156862745098,n12057211,yellow_lady's_slipper,50,1.0,0.0,1.0,1.0,0
resnet50,pgd,0.00392156862745098,n01820546,lorikeet,50,0.98,0.0,0.98,1.0,0
resnet50,pgd,0.00392156862745098,n02174001,rhinoceros_beetle,50,0.96,0.0,0.96,1.0,1
resnet50,pgd,0.00392156862745098,n11879895,rapeseed,50,0.96,0.02,0.94,0.9792,0
resnet50,pgd,0.00392156862745098,n03938244,pillow,50,0.9,0.0,0.9,1.0,1
resnet50,pgd,0.00392156862745098,n01698640,American_alligator,50,0.88,0.02,0.86,0.9773,1
resnet50,pgd,0.00392156862745098,n01697457,African_crocodile,50,0.82,0.0,0.82,1.0,1
resnet50,pgd,0.00392156862745098,n04208210,shovel,50,0.8,0.0,0.8,1.0,1
resnet50,pgd,0.00784313725490196,n02342885,hamster,50,1.0,0.0,1.0,1.0,0
resnet50,pgd,0.00784313725490196,n12057211,yellow_lady's_slipper,50,1.0,0.0,1.0,1.0,0
resnet50,pgd,0.00784313725490196,n01820546,lorikeet,50,0.98,0.0,0.98,1.0,0
resnet50,pgd,0.00784313725490196,n02174001,rhinoceros_beetle,50,0.96,0.0,0.96,1.0,1
resnet50,pgd,0.00784313725490196,n11879895,rapeseed,50,0.96,0.02,0.94,0.9792,0
resnet50,pgd,0.00784313725490196,n03938244,pillow,50,0.9,0.0,0.9,1.0,1
resnet50,pgd,0.00784313725490196,n01698640,American_alligator,50,0.88,0.02,0.86,0.9773,1
resnet50,pgd,0.00784313725490196,n01697457,African_crocodile,50,0.82,0.0,0.82,1.0,1
resnet50,pgd,0.00784313725490196,n04208210,shovel,50,0.8,0.0,0.8,1.0,1
resnet50,pgd,0.01568627450980392,n02342885,hamster,50,1.0,0.0,1.0,1.0,0
resnet50,pgd,0.01568627450980392,n12057211,yellow_lady's_slipper,50,1.0,0.0,1.0,1.0,0
resnet50,pgd,0.01568627450980392,n01820546,lorikeet,50,0.98,0.0,0.98,1.0,0
resnet50,pgd,0.01568627450980392,n02174001,rhinoceros_beetle,50,0.96,0.0,0.96,1.0,1
resnet50,pgd,0.01568627450980392,n11879895,rapeseed,50,0.96,0.02,0.94,0.9792,0
resnet50,pgd,0.01568627450980392,n03938244,pillow,50,0.9,0.0,0.9,1.0,1
resnet50,pgd,0.01568627450980392,n01698640,American_alligator,50,0.88,0.0,0.88,1.0,1
resnet50,pgd,0.01568627450980392,n01697457,African_crocodile,50,0.82,0.0,0.82,1.0,1
resnet50,pgd,0.01568627450980392,n04208210,shovel,50,0.8,0.0,0.8,1.0,1
resnet50,pgd,0.03137254901960784,n02342885,hamster,50,1.0,0.0,1.0,1.0,0
resnet50,pgd,0.03137254901960784,n12057211,yellow_lady's_slipper,50,1.0,0.0,1.0,1.0,0
resnet50,pgd,0.03137254901960784,n01820546,lorikeet,50,0.98,0.0,0.98,1.0,0
resnet50,pgd,0.03137254901960784,n02174001,rhinoceros_beetle,50,0.96,0.0,0.96,1.0,1
resnet50,pgd,0.03137254901960784,n11879895,rapeseed,50,0.96,0.02,0.94,0.9792,0
resnet50,pgd,0.03137254901960784,n03938244,pillow,50,0.9,0.0,0.9,1.0,1
resnet50,pgd,0.03137254901960784,n01698640,American_alligator,50,0.88,0.0,0.88,1.0,1
resnet50,pgd,0.03137254901960784,n01697457,African_crocodile,50,0.82,0.0,0.82,1.0,1
resnet50,pgd,0.03137254901960784,n04208210,shovel,50,0.8,0.0,0.8,1.0,1
