model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
resnet50,fgsm,0.00392156862745098,n01641577,bullfrog,50,0.18,0.22,-0.04,-0.2222,1
resnet50,fgsm,0.00392156862745098,n01498041,stingray,50,0.26,0.34,-0.08,-0.3077,1
resnet50,fgsm,0.00784313725490196,n01498041,stingray,50,0.26,0.24,0.02,0.0769,1
resnet50,fgsm,0.00784313725490196,n01641577,bullfrog,50,0.18,0.16,0.02,0.1111,1
resnet50,fgsm,0.01568627450980392,n01498041,stingray,50,0.26,0.16,0.1,0.3846,1
resnet50,fgsm,0.01568627450980392,n01641577,bullfrog,50,0.18,0.1,0.08,0.4444,1
resnet50,fgsm,0.03137254901960784,n01641577,bullfrog,50,0.18,0.04,0.14,0.7778,1
resnet50,fgsm,0.03137254901960784,n01498041,stingray,50,0.26,0.14,0.12,0.4615,1
resnet50,pgd,0.00392156862745098,n01498041,stingray,50,0.26,0.0,0.26,1.0,1
resnet50,pgd,0.00392156862745098,n01641577,bullfrog,50,0.18,0.0,0.18,1.0,1
resnet50,pgd,0.00784313725490196,n01498041,stingray,50,0.26,0.0,0.26,1.0,1
resnet50,pgd,0.00784313725490196,n01641577,bullfrog,50,0.18,0.0,0.18,1.0,1
resnet50,pgd,0.01568627450980392,n01498041,stingray,50,0.26,0.0,0.26,1.0,1
resnet50,pgd,0.01568627450980392,n01641577,bullfrog,50,0.18,0.0,0.18,1.0,1
resnet50,pgd,0.03137254901960784,n01498041,stingray,50,0.26,0.0,0.26,1.0,1
resnet50,pgd,0.03137254901960784,n01641577,bullfrog,50,0.18,0.0,0.18,1.0,1
