model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,fgsm,0.00392156862745098,n02106550,Rottweiler,50,0.98,0.8,0.18,0.1837,1
maxvit_t,fgsm,0.00392156862745098,n01770081,harvestman,50,0.98,0.88,0.1,0.102,1
maxvit_t,fgsm,0.00392156862745098,n01770393,scorpion,50,0.96,0.9,0.06,0.0625,1
maxvit_t,fgsm,0.00392156862745098,n12768682,buckeye,50,1.0,0.94,0.06,0.06,0
maxvit_t,fgsm,0.00392156862745098,n02480495,orangutan,50,0.92,0.88,0.04,0.0435,0
maxvit_t,fgsm,0.00392156862745098,n02437312,Arabian_camel,50,1.0,0.98,0.02,0.02,0
maxvit_t,fgsm,0.00392156862745098,n03425413,gas_pump,50,0.98,0.96,0.02,0.0204,1
maxvit_t,fgsm,0.00392156862745098,n04273569,speedboat,50,0.98,0.96,0.02,0.0204,0
maxvit_t,fgsm,0.00392156862745098,n01695060,Komodo_dragon,50,0.96,0.96,0.0,0.0,1
maxvit_t,fgsm,0.00392156862745098,n02817516,bearskin,50,1.0,1.0,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n02106550,Rottweiler,50,0.98,0.72,0.26,0.2653,1
maxvit_t,fgsm,0.00784313725490196,n01770081,harvestman,50,0.98,0.8,0.18,0.1837,1
maxvit_t,fgsm,0.00784313725490196,n02437312,Arabian_camel,50,1.0,0.82,0.18,0.18,0
maxvit_t,fgsm,0.00784313725490196,n02480495,orangutan,50,0.92,0.74,0.18,0.1957,0
maxvit_t,fgsm,0.00784313725490196,n01770393,scorpion,50,0.96,0.82,0.14,0.1458,1
maxvit_t,fgsm,0.00784313725490196,n12768682,buckeye,50,1.0,0.9,0.1,0.1,0
maxvit_t,fgsm,0.00784313725490196,n01695060,Komodo_dragon,50,0.96,0.88,0.08,0.0833,1
maxvit_t,fgsm,0.00784313725490196,n03425413,gas_pump,50,0.98,0.92,0.06,0.0612,1
maxvit_t,fgsm,0.00784313725490196,n02817516,bearskin,50,1.0,0.96,0.04,0.04,0
maxvit_t,fgsm,0.00784313725490196,n04273569,speedboat,50,0.98,0.96,0.02,0.0204,0
maxvit_t,fgsm,0.01568627450980392,n02106550,Rottweiler,50,0.98,0.52,0.46,0.4694,1
maxvit_t,fgsm,0.01568627450980392,n02437312,Arabian_camel,50,1.0,0.66,0.34,0.34,0
maxvit_t,fgsm,0.01568627450980392,n03425413,gas_pump,50,0.98,0.64,0.34,0.3469,1
maxvit_t,fgsm,0.01568627450980392,n01770081,harvestman,50,0.98,0.72,0.26,0.2653,1
maxvit_t,fgsm,0.01568627450980392,n02480495,orangutan,50,0.92,0.68,0.24,0.2609,0
maxvit_t,fgsm,0.01568627450980392,n01770393,scorpion,50,0.96,0.74,0.22,0.2292,1
maxvit_t,fgsm,0.01568627450980392,n12768682,buckeye,50,1.0,0.78,0.22,0.22,0
maxvit_t,fgsm,0.01568627450980392,n01695060,Komodo_dragon,50,0.96,0.76,0.2,0.2083,1
maxvit_t,fgsm,0.01568627450980392,n02817516,bearskin,50,1.0,0.84,0.16,0.16,0
maxvit_t,fgsm,0.01568627450980392,n04273569,speedboat,50,0.98,0.88,0.1,0.102,0
maxvit_t,fgsm,0.03137254901960784,n02106550,Rottweiler,50,0.98,0.36,0.62,0.6327,1
maxvit_t,fgsm,0.03137254901960784,n02437312,Arabian_camel,50,1.0,0.56,0.44,0.44,0
maxvit_t,fgsm,0.03137254901960784,n03425413,gas_pump,50,0.98,0.54,0.44,0.449,1
maxvit_t,fgsm,0.03137254901960784,n01770081,harvestman,50,0.98,0.56,0.42,0.4286,1
maxvit_t,fgsm,0.03137254901960784,n12768682,buckeye,50,1.0,0.58,0.42,0.42,0
maxvit_t,fgsm,0.03137254901960784,n02480495,orangutan,50,0.92,0.58,0.34,0.3696,0
maxvit_t,fgsm,0.03137254901960784,n02817516,bearskin,50,1.0,0.66,0.34,0.34,0
maxvit_t,fgsm,0.03137254901960784,n01770393,scorpion,50,0.96,0.66,0.3,0.3125,1
maxvit_t,fgsm,0.03137254901960784,n01695060,Komodo_dragon,50,0.96,0.68,0.28,0.2917,1
maxvit_t,fgsm,0.03137254901960784,n04273569,speedboat,50,0.98,0.74,0.24,0.2449,0
maxvit_t,pgd,0.00392156862745098,n02106550,Rottweiler,50,0.98,0.48,0.5,0.5102,1
maxvit_t,pgd,0.00392156862745098,n02437312,Arabian_camel,50,1.0,0.54,0.46,0.46,0
maxvit_t,pgd,0.00392156862745098,n03425413,gas_pump,50,0.98,0.6,0.38,0.3878,1
maxvit_t,pgd,0.00392156862745098,n02480495,orangutan,50,0.92,0.56,0.36,0.3913,0
maxvit_t,pgd,0.00392156862745098,n01770081,harvestman,50,0.98,0.7,0.28,0.2857,1
maxvit_t,pgd,0.00392156862745098,n04273569,speedboat,50,0.98,0.72,0.26,0.2653,0
maxvit_t,pgd,0.00392156862745098,n01770393,scorpion,50,0.96,0.72,0.24,0.25,1
maxvit_t,pgd,0.00392156862745098,n02817516,bearskin,50,1.0,0.76,0.24,0.24,0
maxvit_t,pgd,0.00392156862745098,n12768682,buckeye,50,1.0,0.8,0.2,0.2,0
maxvit_t,pgd,0.00392156862745098,n01695060,Komodo_dragon,50,0.96,0.82,0.14,0.1458,1
maxvit_t,pgd,0.00784313725490196,n02106550,Rottweiler,50,0.98,0.22,0.76,0.7755,1
maxvit_t,pgd,0.00784313725490196,n02437312,Arabian_camel,50,1.0,0.28,0.72,0.72,0
maxvit_t,pgd,0.00784313725490196,n02480495,orangutan,50,0.92,0.4,0.52,0.5652,0
maxvit_t,pgd,0.00784313725490196,n03425413,gas_pump,50,0.98,0.46,0.52,0.5306,1
maxvit_t,pgd,0.00784313725490196,n01770081,harvestman,50,0.98,0.54,0.44,0.449,1
maxvit_t,pgd,0.00784313725490196,n01770393,scorpion,50,0.96,0.52,0.44,0.4583,1
maxvit_t,pgd,0.00784313725490196,n02817516,bearskin,50,1.0,0.6,0.4,0.4,0
maxvit_t,pgd,0.00784313725490196,n12768682,buckeye,50,1.0,0.62,0.38,0.38,0
maxvit_t,pgd,0.00784313725490196,n01695060,Komodo_dragon,50,0.96,0.6,0.36,0.375,1
maxvit_t,pgd,0.00784313725490196,n04273569,speedboat,50,0.98,0.64,0.34,0.3469,0
maxvit_t,pgd,0.01568627450980392,n02106550,Rottweiler,50,0.98,0.12,0.86,0.8776,1
maxvit_t,pgd,0.01568627450980392,n03425413,gas_pump,50,0.98,0.2,0.78,0.7959,1
maxvit_t,pgd,0.01568627450980392,n02437312,Arabian_camel,50,1.0,0.24,0.76,0.76,0
maxvit_t,pgd,0.01568627450980392,n02480495,orangutan,50,0.92,0.24,0.68,0.7391,0
maxvit_t,pgd,0.01568627450980392,n01695060,Komodo_dragon,50,0.96,0.3,0.66,0.6875,1
maxvit_t,pgd,0.01568627450980392,n01770081,harvestman,50,0.98,0.34,0.64,0.6531,1
maxvit_t,pgd,0.01568627450980392,n01770393,scorpion,50,0.96,0.32,0.64,0.6667,1
maxvit_t,pgd,0.01568627450980392,n02817516,bearskin,50,1.0,0.4,0.6,0.6,0
maxvit_t,pgd,0.01568627450980392,n12768682,buckeye,50,1.0,0.4,0.6,0.6,0
maxvit_t,pgd,0.01568627450980392,n04273569,speedboat,50,0.98,0.42,0.56,0.5714,0
maxvit_t,pgd,0.03137254901960784,n02106550,Rottweiler,50,0.98,0.08,0.9,0.9184,1
maxvit_t,pgd,0.03137254901960784,n02437312,Arabian_camel,50,1.0,0.12,0.88,0.88,0
maxvit_t,pgd,0.03137254901960784,n03425413,gas_pump,50,0.98,0.12,0.86,0.8776,1
maxvit_t,pgd,0.03137254901960784,n04273569,speedboat,50,0.98,0.18,0.8,0.8163,0
maxvit_t,pgd,0.03137254901960784,n01695060,Komodo_dragon,50,0.96,0.18,0.78,0.8125,1
maxvit_t,pgd,0.03137254901960784,n01770081,harvestman,50,0.98,0.22,0.76,0.7755,1
maxvit_t,pgd,0.03137254901960784,n01770393,scorpion,50,0.96,0.2,0.76,0.7917,1
maxvit_t,pgd,0.03137254901960784,n02480495,orangutan,50,0.92,0.16,0.76,0.8261,0
maxvit_t,pgd,0.03137254901960784,n02817516,bearskin,50,1.0,0.24,0.76,0.76,0
maxvit_t,pgd,0.03137254901960784,n12768682,buckeye,50,1.0,0.28,0.72,0.72,0
