model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,fgsm,0.00392156862745098,n04127249,safety_pin,50,0.8,0.6,0.2,0.25,1
maxvit_t,fgsm,0.00392156862745098,n03763968,military_uniform,50,0.88,0.74,0.14,0.1591,1
maxvit_t,fgsm,0.00392156862745098,n04507155,umbrella,50,0.86,0.72,0.14,0.1628,1
maxvit_t,fgsm,0.00392156862745098,n03220513,dome,50,0.8,0.74,0.06,0.075,1
maxvit_t,fgsm,0.00392156862745098,n03938244,pillow,50,0.92,0.86,0.06,0.0652,1
maxvit_t,fgsm,0.00392156862745098,n02088094,Afghan_hound,50,0.98,0.94,0.04,0.0408,0
maxvit_t,fgsm,0.00392156862745098,n01629819,European_fire_salamander,50,0.98,0.96,0.02,0.0204,0
maxvit_t,fgsm,0.00392156862745098,n02086910,papillon,50,0.94,0.92,0.02,0.0213,0
maxvit_t,fgsm,0.00392156862745098,n01530575,brambling,50,0.96,0.96,0.0,0.0,0
maxvit_t,fgsm,0.00392156862745098,n02326432,hare,50,0.94,0.94,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n04127249,safety_pin,50,0.8,0.44,0.36,0.45,1
maxvit_t,fgsm,0.00784313725490196,n03763968,military_uniform,50,0.88,0.58,0.3,0.3409,1
maxvit_t,fgsm,0.00784313725490196,n04507155,umbrella,50,0.86,0.62,0.24,0.2791,1
maxvit_t,fgsm,0.00784313725490196,n03938244,pillow,50,0.92,0.72,0.2,0.2174,1
maxvit_t,fgsm,0.00784313725490196,n03220513,dome,50,0.8,0.64,0.16,0.2,1
maxvit_t,fgsm,0.00784313725490196,n02088094,Afghan_hound,50,0.98,0.84,0.14,0.1429,0
maxvit_t,fgsm,0.00784313725490196,n01530575,brambling,50,0.96,0.9,0.06,0.0625,0
maxvit_t,fgsm,0.00784313725490196,n02086910,papillon,50,0.94,0.9,0.04,0.0426,0
maxvit_t,fgsm,0.00784313725490196,n01629819,European_fire_salamander,50,0.98,0.96,0.02,0.0204,0
maxvit_t,fgsm,0.00784313725490196,n02326432,hare,50,0.94,0.92,0.02,0.0213,0
maxvit_t,fgsm,0.01568627450980392,n03763968,military_uniform,50,0.88,0.4,0.48,0.5455,1
maxvit_t,fgsm,0.01568627450980392,n04127249,safety_pin,50,0.8,0.38,0.42,0.525,1
maxvit_t,fgsm,0.01568627450980392,n04507155,umbrella,50,0.86,0.48,0.38,0.4419,1
maxvit_t,fgsm,0.01568627450980392,n03938244,pillow,50,0.92,0.56,0.36,0.3913,1
maxvit_t,fgsm,0.01568627450980392,n02088094,Afghan_hound,50,0.98,0.68,0.3,0.3061,0
