model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,fgsm,0.00392156862745098,n04023962,punching_bag,50,0.8,0.64,0.16,0.2,1
maxvit_t,fgsm,0.00392156862745098,n04204238,shopping_basket,50,0.82,0.68,0.14,0.1707,1
maxvit_t,fgsm,0.00392156862745098,n03873416,paddle,50,0.82,0.74,0.08,0.0976,1
maxvit_t,fgsm,0.00392156862745098,n04019541,puck,50,0.98,0.9,0.08,0.0816,0
maxvit_t,fgsm,0.00392156862745098,n04141975,scale,50,0.84,0.76,0.08,0.0952,1
maxvit_t,fgsm,0.00392156862745098,n01833805,hummingbird,50,0.98,0.94,0.04,0.0408,0
maxvit_t,fgsm,0.00392156862745098,n01582220,magpie,50,0.98,0.96,0.02,0.0204,0
maxvit_t,fgsm,0.00392156862745098,n01943899,conch,50,0.84,0.82,0.02,0.0238,1
maxvit_t,fgsm,0.00392156862745098,n02787622,banjo,50,0.96,0.94,0.02,0.0208,0
maxvit_t,fgsm,0.00392156862745098,n04146614,school_bus,50,0.98,0.96,0.02,0.0204,0
maxvit_t,fgsm,0.00784313725490196,n04023962,punching_bag,50,0.8,0.5,0.3,0.375,1
maxvit_t,fgsm,0.00784313725490196,n04141975,scale,50,0.84,0.54,0.3,0.3571,1
maxvit_t,fgsm,0.00784313725490196,n03873416,paddle,50,0.82,0.6,0.22,0.2683,1
maxvit_t,fgsm,0.00784313725490196,n04019541,puck,50,0.98,0.8,0.18,0.1837,0
maxvit_t,fgsm,0.00784313725490196,n04204238,shopping_basket,50,0.82,0.66,0.16,0.1951,1
maxvit_t,fgsm,0.00784313725490196,n01943899,conch,50,0.84,0.72,0.12,0.1429,1
maxvit_t,fgsm,0.00784313725490196,n01833805,hummingbird,50,0.98,0.88,0.1,0.102,0
maxvit_t,fgsm,0.00784313725490196,n04146614,school_bus,50,0.98,0.9,0.08,0.0816,0
maxvit_t,fgsm,0.00784313725490196,n02787622,banjo,50,0.96,0.9,0.06,0.0625,0
maxvit_t,fgsm,0.00784313725490196,n01582220,magpie,50,0.98,0.94,0.04,0.0408,0
maxvit_t,fgsm,0.01568627450980392,n04141975,scale,50,0.84,0.42,0.42,0.5,1
maxvit_t,fgsm,0.01568627450980392,n04204238,shopping_basket,50,0.82,0.4,0.42,0.5122,1
maxvit_t,fgsm,0.01568627450980392,n01943899,conch,50,0.84,0.48,0.36,0.4286,1
maxvit_t,fgsm,0.01568627450980392,n04023962,punching_bag,50,0.8,0.44,0.36,0.45,1
maxvit_t,fgsm,0.01568627450980392,n03873416,paddle,50,0.82,0.52,0.3,0.3659,1
maxvit_t,fgsm,0.01568627450980392,n04019541,puck,50,0.98,0.78,0.2,0.2041,0
maxvit_t,fgsm,0.01568627450980392,n02787622,banjo,50,0.96,0.78,0.18,0.1875,0
maxvit_t,fgsm,0.01568627450980392,n01833805,hummingbird,50,0.98,0.82,0.16,0.1633,0
maxvit_t,fgsm,0.01568627450980392,n01582220,magpie,50,0.98,0.84,0.14,0.1429,0
maxvit_t,fgsm,0.01568627450980392,n04146614,school_bus,50,0.98,0.86,0.12,0.1224,0
maxvit_t,fgsm,0.03137254901960784,n04204238,shopping_basket,50,0.82,0.28,0.54,0.6585,1
maxvit_t,fgsm,0.03137254901960784,n01943899,conch,50,0.84,0.36,0.48,0.5714,1
maxvit_t,fgsm,0.03137254901960784,n04141975,scale,50,0.84,0.38,0.46,0.5476,1
maxvit_t,fgsm,0.03137254901960784,n04023962,punching_bag,50,0.8,0.36,0.44,0.55,1
maxvit_t,fgsm,0.03137254901960784,n03873416,paddle,50,0.82,0.44,0.38,0.4634,1
maxvit_t,fgsm,0.03137254901960784,n01582220,magpie,50,0.98,0.66,0.32,0.3265,0
maxvit_t,fgsm,0.03137254901960784,n04019541,puck,50,0.98,0.7,0.28,0.2857,0
maxvit_t,fgsm,0.03137254901960784,n04146614,school_bus,50,0.98,0.7,0.28,0.2857,0
maxvit_t,fgsm,0.03137254901960784,n01833805,hummingbird,50,0.98,0.72,0.26,0.2653,0
maxvit_t,fgsm,0.03137254901960784,n02787622,banjo,50,0.96,0.74,0.22,0.2292,0
maxvit_t,pgd,0.00392156862745098,n04141975,scale,50,0.84,0.26,0.58,0.6905,1
maxvit_t,pgd,0.00392156862745098,n04023962,punching_bag,50,0.8,0.28,0.52,0.65,1
maxvit_t,pgd,0.00392156862745098,n01943899,conch,50,0.84,0.38,0.46,0.5476,1
