model,attack,epsilon,synset,class_name,n_samples,baseline_acc,adv_acc,acc_drop,normalized_drop,is_fragile
maxvit_t,fgsm,0.00392156862745098,n04116512,rubber_eraser,50,0.8,0.58,0.22,0.275,1
maxvit_t,fgsm,0.00392156862745098,n02097658,silky_terrier,50,0.8,0.64,0.16,0.2,1
maxvit_t,fgsm,0.00392156862745098,n04254120,soap_dispenser,50,0.82,0.66,0.16,0.1951,1
maxvit_t,fgsm,0.00392156862745098,n03223299,doormat,50,0.8,0.7,0.1,0.125,1
maxvit_t,fgsm,0.00392156862745098,n10148035,groom,50,0.86,0.8,0.06,0.0698,1
maxvit_t,fgsm,0.00392156862745098,n03874293,paddlewheel,50,0.98,0.94,0.04,0.0408,0
maxvit_t,fgsm,0.00392156862745098,n04310018,steam_locomotive,50,1.0,0.96,0.04,0.04,0
maxvit_t,fgsm,0.00392156862745098,n02268853,damselfly,50,0.94,0.92,0.02,0.0213,0
maxvit_t,fgsm,0.00392156862745098,n04525305,vending_machine,50,0.94,0.92,0.02,0.0213,0
maxvit_t,fgsm,0.00392156862745098,n01806143,peacock,50,0.98,0.98,0.0,0.0,0
maxvit_t,fgsm,0.00784313725490196,n04254120,soap_dispenser,50,0.82,0.48,0.34,0.4146,1
maxvit_t,fgsm,0.00784313725490196,n04116512,rubber_eraser,50,0.8,0.52,0.28,0.35,1
maxvit_t,fgsm,0.00784313725490196,n03223299,doormat,50,0.8,0.56,0.24,0.3,1
maxvit_t,fgsm,0.00784313725490196,n02097658,silky_terrier,50,0.8,0.58,0.22,0.275,1
maxvit_t,fgsm,0.00784313725490196,n10148035,groom,50,0.86,0.72,0.14,0.1628,1
maxvit_t,fgsm,0.00784313725490196,n03874293,paddlewheel,50,0.98,0.9,0.08,0.0816,0
maxvit_t,fgsm,0.00784313725490196,n04310018,steam_locomotive,50,1.0,0.92,0.08,0.08,0
maxvit_t,fgsm,0.00784313725490196,n02268853,damselfly,50,0.94,0.9,0.04,0.0426,0
maxvit_t,fgsm,0.00784313725490196,n01806143,peacock,50,0.98,0.96,0.02,0.0204,0
maxvit_t,fgsm,0.00784313725490196,n04525305,vending_machine,50,0.94,0.92,0.02,0.0213,0
maxvit_t,fgsm,0.01568627450980392,n03223299,doormat,50,0.8,0.32,0.48,0.6,1
maxvit_t,fgsm,0.01568627450980392,n04254120,soap_dispenser,50,0.82,0.38,0.44,0.5366,1
maxvit_t,fgsm,0.01568627450980392,n04116512,rubber_eraser,50,0.8,0.38,0.42,0.525,1
maxvit_t,fgsm,0.01568627450980392,n10148035,groom,50,0.86,0.48,0.38,0.4419,1
maxvit_t,fgsm,0.01568627450980392,n02097658,silky_terrier,50,0.8,0.48,0.32,0.4,1
maxvit_t,fgsm,0.01568627450980392,n04310018,steam_locomotive,50,1.0,0.8,0.2,0.2,0
maxvit_t,fgsm,0.01568627450980392,n03874293,paddlewheel,50,0.98,0.8,0.18,0.1837,0
maxvit_t,fgsm,0.01568627450980392,n02268853,damselfly,50,0.94,0.84,0.1,0.1064,0
maxvit_t,fgsm,0.01568627450980392,n01806143,peacock,50,0.98,0.92,0.06,0.0612,0
maxvit_t,fgsm,0.01568627450980392,n04525305,vending_machine,50,0.94,0.92,0.02,0.0213,0
maxvit_t,fgsm,0.03137254901960784,n03223299,doormat,50,0.8,0.24,0.56,0.7,1
maxvit_t,fgsm,0.03137254901960784,n04254120,soap_dispenser,50,0.82,0.26,0.56,0.6829,1
maxvit_t,fgsm,0.03137254901960784,n04116512,rubber_eraser,50,0.8,0.28,0.52,0.65,1
maxvit_t,fgsm,0.03137254901960784,n10148035,groom,50,0.86,0.38,0.48,0.5581,1
maxvit_t,fgsm,0.03137254901960784,n02097658,silky_terrier,50,0.8,0.4,0.4,0.5,1
maxvit_t,fgsm,0.03137254901960784,n04310018,steam_locomotive,50,1.0,0.6,0.4,0.4,0
maxvit_t,fgsm,0.03137254901960784,n03874293,paddlewheel,50,0.98,0.66,0.32,0.3265,0
maxvit_t,fgsm,0.03137254901960784,n02268853,damselfly,50,0.94,0.7,0.24,0.2553,0
maxvit_t,fgsm,0.03137254901960784,n01806143,peacock,50,0.98,0.8,0.18,0.1837,0
maxvit_t,fgsm,0.03137254901960784,n04525305,vending_machine,50,0.94,0.76,0.18,0.1915,0
maxvit_t,pgd,0.00392156862745098,n04254120,soap_dispenser,50,0.82,0.22,0.6,0.7317,1
maxvit_t,pgd,0.00392156862745098,n04116512,rubber_eraser,50,0.8,0.28,0.52,0.65,1
maxvit_t,pgd,0.00392156862745098,n10148035,groom,50,0.86,0.44,0.42,0.4884,1
maxvit_t,pgd,0.00392156862745098,n03223299,doormat,50,0.8,0.4,0.4,0.5,1
maxvit_t,pgd,0.00392156862745098,n02097658,silky_terrier,50,0.8,0.48,0.32,0.4,1
maxvit_t,pgd,0.00392156862745098,n04525305,vending_machine,50,0.94,0.66,0.28,0.2979,0
maxvit_t,pgd,0.00392156862745098,n04310018,steam_locomotive,50,1.0,0.78,0.22,0.22,0
maxvit_t,pgd,0.00392156862745098,n03874293,paddlewheel,50,0.98,0.8,0.18,0.1837,0
maxvit_t,pgd,0.00392156862745098,n02268853,damselfly,50,0.94,0.78,0.16,0.1702,0
maxvit_t,pgd,0.00392156862745098,n01806143,peacock,50,0.98,0.88,0.1,0.102,0
maxvit_t,pgd,0.00784313725490196,n04254120,soap_dispenser,50,0.82,0.1,0.72,0.878,1
maxvit_t,pgd,0.00784313725490196,n10148035,groom,50,0.86,0.22,0.64,0.7442,1
maxvit_t,pgd,0.00784313725490196,n04116512,rubber_eraser,50,0.8,0.18,0.62,0.775,1
maxvit_t,pgd,0.00784313725490196,n03223299,doormat,50,0.8,0.24,0.56,0.7,1
maxvit_t,pgd,0.00784313725490196,n04525305,vending_machine,50,0.94,0.4,0.54,0.5745,0
maxvit_t,pgd,0.00784313725490196,n04310018,steam_locomotive,50,1.0,0.5,0.5,0.5,0
maxvit_t,pgd,0.00784313725490196,n02097658,silky_terrier,50,0.8,0.34,0.46,0.575,1
maxvit_t,pgd,0.00784313725490196,n03874293,paddlewheel,50,0.98,0.6,0.38,0.3878,0
maxvit_t,pgd,0.00784313725490196,n02268853,damselfly,50,0.94,0.6,0.34,0.3617,0
maxvit_t,pgd,0.00784313725490196,n01806143,peacock,50,0.98,0.76,0.22,0.2245,0
maxvit_t,pgd,0.01568627450980392,n04254120,soap_dispenser,50,0.82,0.04,0.78,0.9512,1
maxvit_t,pgd,0.01568627450980392,n04525305,vending_machine,50,0.94,0.16,0.78,0.8298,0
maxvit_t,pgd,0.01568627450980392,n10148035,groom,50,0.86,0.14,0.72,0.8372,1
maxvit_t,pgd,0.01568627450980392,n03223299,doormat,50,0.8,0.1,0.7,0.875,1
maxvit_t,pgd,0.01568627450980392,n04116512,rubber_eraser,50,0.8,0.14,0.66,0.825,1
maxvit_t,pgd,0.01568627450980392,n04310018,steam_locomotive,50,1.0,0.34,0.66,0.66,0
maxvit_t,pgd,0.01568627450980392,n03874293,paddlewheel,50,0.98,0.38,0.6,0.6122,0
maxvit_t,pgd,0.01568627450980392,n02097658,silky_terrier,50,0.8,0.24,0.56,0.7,1
maxvit_t,pgd,0.01568627450980392,n02268853,damselfly,50,0.94,0.38,0.56,0.5957,0
maxvit_t,pgd,0.01568627450980392,n01806143,peacock,50,0.98,0.54,0.44,0.449,0
maxvit_t,pgd,0.03137254901960784,n04310018,steam_locomotive,50,1.0,0.18,0.82,0.82,0
maxvit_t,pgd,0.03137254901960784,n04254120,soap_dispenser,50,0.82,0.02,0.8,0.9756,1
maxvit_t,pgd,0.03137254901960784,n04525305,vending_machine,50,0.94,0.14,0.8,0.8511,0
maxvit_t,pgd,0.03137254901960784,n02268853,damselfly,50,0.94,0.18,0.76,0.8085,0
maxvit_t,pgd,0.03137254901960784,n03223299,doormat,50,0.8,0.06,0.74,0.925,1
maxvit_t,pgd,0.03137254901960784,n10148035,groom,50,0.86,0.12,0.74,0.8605,1
maxvit_t,pgd,0.03137254901960784,n04116512,rubber_eraser,50,0.8,0.08,0.72,0.9,1
maxvit_t,pgd,0.03137254901960784,n02097658,silky_terrier,50,0.8,0.1,0.7,0.875,1
maxvit_t,pgd,0.03137254901960784,n03874293,paddlewheel,50,0.98,0.28,0.7,0.7143,0
maxvit_t,pgd,0.03137254901960784,n01806143,peacock,50,0.98,0.34,0.64,0.6531,0
