Chi2_Stat,p-value,Shared_Fragile_Count,Significant,Model_A,Model_B
151.6344,7.616265618642085e-35,12,True,ResNet-50,ResNet-152
206.5432,7.799578850472794e-47,14,True,ResNet-50,ConvNeXt-Base
158.0445,3.026398154458383e-36,14,True,ResNet-50,ViT-B/16
64.0929,1.1869060791716814e-15,7,True,ResNet-50,EfficientNet-B4
56.0592,7.032099079591998e-14,9,True,ResNet-152,ConvNeXt-Base
82.7571,9.278207671481646e-20,12,True,ResNet-152,ViT-B/16
65.7294,5.172924751296841e-16,8,True,ResNet-152,EfficientNet-B4
155.1476,1.2999976867205114e-35,16,True,ConvNeXt-Base,ViT-B/16
192.2416,1.0305138825199555e-43,13,True,ConvNeXt-Base,EfficientNet-B4
80.5505,2.8337404343836897e-19,10,True,ViT-B/16,EfficientNet-B4
