synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n01641577,30,0.8244444444444444,0.39023703703703705,0.5262360664691917,0.4342074074074074,0.7199657150853624,0.7938945771710277,0.9776216731877023,18
n01698640,50,0.9177777777777778,0.3777185185185185,0.5912224538556852,0.5400592592592592,0.6633188048765081,1.129516019086571,1.011978624470817,18
n07880968,965,0.9055555555555556,0.3740888888888889,0.5905299110853973,0.5314666666666666,0.6567338183174781,1.227216748768473,1.0198807665737022,18
n03938244,721,0.9070588235294118,0.33096470588235294,0.637073924612651,0.5760941176470588,0.6972991531242847,1.6026357130389244,1.0311701110601037,17
n01498041,6,0.90625,0.3189166666666667,0.6478138971157117,0.5873333333333334,0.819660622593068,1.3024837374334715,1.0207391959216776,16
n01697457,49,0.885,0.37785,0.5738790521641419,0.50715,0.6876105216622458,1.2528409090909087,1.0221775818978256,16
n03814906,679,0.94,0.41931666666666667,0.5548275845339283,0.5206833333333333,0.6974895900064061,0.8500489769264257,1.0125298174652562,16
n01742172,61,0.84625,0.4188,0.5071954491434072,0.42745,0.6264731244610521,0.8099734714502275,1.0061119131308058,16
n04200800,788,0.9075,0.3856,0.5772784567571223,0.5219,0.6545454545454545,1.2465764331210192,1.0206915434561528,16
n04597913,910,0.8480000000000001,0.34736,0.5918149805297948,0.50064,0.6749586321014893,2.0274298056155504,1.0796790982545936,15
