synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n01737021,58,0.8347368421052631,0.32322807017543864,0.6186197044669622,0.5115087719298246,0.7006887732860589,2.2646492263717146,1.0287235303747946,19
n02971356,478,0.5778947368421052,0.24606315789473684,0.5767443722907981,0.3318315789473684,0.7961878788777068,4.957643111763476,1.0415739692413426,19
n01985128,124,0.7684210526315789,0.28054736842105266,0.6452392168398697,0.48787368421052635,0.7399745936426365,4.3456682085260665,1.0400354248135262,19
n03141823,523,0.6757894736842105,0.3145122807017544,0.5411831295514239,0.36127719298245614,0.706009048988855,2.393620978240656,1.0299840146608967,19
n04154565,784,0.5431578947368422,0.22741052631578948,0.5848668245655727,0.3157473684210526,0.7900765002224679,5.456463739995153,1.0425751796944152,19
n03793489,673,0.4705263157894737,0.2080280701754386,0.5645706929740427,0.26249824561403506,0.8238265566829694,2.163447079236551,1.027631716309251,19
n03532672,600,0.4557894736842105,0.18981052631578946,0.5937769987635934,0.2659789473684211,0.8310203846596798,4.841849770056212,1.0413123689842656,19
n15075141,999,0.5957894736842105,0.1830315789473684,0.7007781876350522,0.4127578947368421,0.8248873395119464,3.1653212786567657,1.0354151483464833,19
n04254120,804,0.7189473684210527,0.3686315789473684,0.49611513232103094,0.3503157894736842,0.6953396707628101,3.9808612440191395,1.0388961728163826,19
n04208210,792,0.7536842105263158,0.3384,0.5607508964523955,0.4152842105263158,0.6763904034896402,2.3313110620863546,1.029392067603321,19
n04332243,828,0.6936842105263158,0.33643508771929825,0.5190604029253785,0.35724912280701754,0.705519824511662,1.9788540775868773,1.0253600784710235,19
n07860988,961,0.5157894736842106,0.14016842105263158,0.7318529100214852,0.37562105263157897,0.9069953364423718,2.537980085348508,1.0312460263331291,19
n04557648,898,0.6294736842105264,0.2832140350877193,0.5526166350567824,0.34625964912280704,0.769083653339357,3.763691838291382,1.0381145540538264,19
n04548362,893,0.6957894736842105,0.2984140350877193,0.5797393469907145,0.3973754385964912,0.7237819445449938,2.098813936249073,1.026880677212447,19
n04493381,876,0.40210526315789474,0.18204912280701754,0.5467470730776042,0.22005614035087717,0.8410517656906181,2.3781283179129376,1.0298396684335323,19
n03995372,740,0.6831578947368421,0.29475087719298243,0.575201440277087,0.38840701754385965,0.7259632749180115,2.9544144336500464,1.0342076300560752,19
n04192698,787,0.7000000000000001,0.35317894736842104,0.5008017395410542,0.3468210526315789,0.6873275566359934,2.8647113378159057,1.0336411264601,19
n04263257,809,0.6610526315789474,0.07950877192982457,0.8787851266660205,0.5815438596491228,0.9617838131131675,2.2622297444856954,1.0286985417977832,19
n03041632,499,0.6422222222222222,0.29031111111111113,0.5583820963972779,0.35191111111111106,0.7289327124988587,3.0978090766823154,1.0514853325896711,18
n03089624,509,0.7011111111111111,0.31754074074074073,0.5477778412163753,0.38357037037037034,0.78168058100862,2.5059039876113043,1.0542667855674046,18
n01755581,67,0.8388888888888889,0.2685333333333333,0.6844227024949956,0.5703555555555555,0.779040045441636,1.6827956989247312,1.0349026628602764,18
n01698640,50,0.9177777777777778,0.3777185185185185,0.5912224538556852,0.5400592592592592,0.6633188048765081,1.129516019086571,1.011978624470817,18
n01641577,30,0.8244444444444444,0.39023703703703705,0.5262360664691917,0.4342074074074074,0.7199657150853624,0.7938945771710277,0.9776216731877023,18
n04116512,767,0.6955555555555555,0.3406666666666667,0.5157480463722294,0.35488888888888886,0.712536023054755,1.9148681055155872,1.037444132626546,18
n07880968,965,0.9055555555555556,0.3740888888888889,0.5905299110853973,0.5314666666666666,0.6567338183174781,1.227216748768473,1.0198807665737022,18
n04357314,838,0.5533333333333333,0.2718962962962963,0.5233823044767593,0.28143703703703704,0.7521732476277931,2.6058984910836767,1.042616832688455,18
n04026417,748,0.6088888888888889,0.25034074074074075,0.5934311915233296,0.35854814814814817,0.777439773844641,2.182720057720058,1.0515430771169245,18
n03908714,710,0.7222222222222222,0.33641481481481483,0.5435772973433792,0.3858074074074074,0.687036014479416,2.0757213454487493,1.0475167634056968,18
n03759954,650,0.6552941176470588,0.30382745098039216,0.5461398395686681,0.35146666666666665,0.7429274498644078,1.984939759036144,1.05859202441669,17
n03832673,681,0.4388235294117647,0.1264470588235294,0.7133857744113139,0.3123764705882353,0.9112165589462489,2.6323859881031058,1.091157155890161,17
n04141975,778,0.8011764705882353,0.34618039215686275,0.5797181491590131,0.4549960784313725,0.6875556728580383,1.6793654469661878,1.0407998866121615,17
n04597913,910,0.8176470588235294,0.3255372549019608,0.6074603130815438,0.49210980392156867,0.6975276597125336,1.9928852750603478,1.0612828965729548,17
n04376876,845,0.7211764705882353,0.34006274509803924,0.5371829642513033,0.3811137254901961,0.6887739231512254,1.923521494735176,1.0530718568973478,17
n03938244,721,0.9070588235294118,0.33096470588235294,0.637073924612651,0.5760941176470588,0.6972991531242847,1.6026357130389244,1.0311701110601037,17
n02769748,414,0.49411764705882355,0.14448627450980392,0.7091319413469144,0.3496313725490196,0.8799167500242007,2.0295938808960123,1.0588900396210819,17
n03481172,587,0.7023529411764705,0.3028392156862745,0.5793705118226241,0.3995137254901961,0.7235961641783755,1.9635340374681982,1.0533106974993744,17
n02910353,464,0.6035294117647059,0.2972705882352941,0.5139382297566728,0.3062588235294118,0.7273627640402007,3.555636496084504,1.0693892529776001,17
n03633091,618,0.5599999999999999,0.19567058823529412,0.6534953738326932,0.3643294117647059,0.827272433932432,2.7545066413662243,1.1071150229874376,17
n01742172,61,0.84625,0.4188,0.5071954491434072,0.42745,0.6264731244610521,0.8099734714502275,1.0061119131308058,16
n01697457,49,0.885,0.37785,0.5738790521641419,0.50715,0.6876105216622458,1.2528409090909087,1.0221775818978256,16
n01498041,6,0.90625,0.3189166666666667,0.6478138971157117,0.5873333333333334,0.819660622593068,1.3024837374334715,1.0207391959216776,16
n03666591,626,0.83125,0.3949166666666667,0.5337370491827611,0.43633333333333335,0.6484888539582737,1.724183350895679,1.053470254957507,16
n03814906,679,0.94,0.41931666666666667,0.5548275845339283,0.5206833333333333,0.6974895900064061,0.8500489769264257,1.0125298174652562,16
n04200800,788,0.9075,0.3856,0.5772784567571223,0.5219,0.6545454545454545,1.2465764331210192,1.0206915434561528,16
n04325704,824,0.70375,0.37805,0.46160677924332305,0.3257,0.6931092124814264,2.7758522727272736,1.0533180975378378,16
n02730930,411,0.82375,0.3597,0.5664291697823842,0.46404999999999996,0.7057980599647267,1.510579427083333,1.0402220694602187,16
n03291819,549,0.625,0.26911666666666667,0.5740518281118032,0.35588333333333333,0.7937481899797278,1.772327357237716,1.0818876413603018,16
n03498962,596,0.728,0.37719111111111114,0.494721776952742,0.3508088888888889,0.6418063570577998,2.332505910165485,1.074826041368792,15
n03372029,558,0.5693333333333332,0.3056711111111111,0.46793564790740816,0.2636622222222222,0.7270967141394397,2.7773408239700377,1.069016470249036,15
n03255030,543,0.7973333333333333,0.4210311111111111,0.48140725791598143,0.3763022222222222,0.6213890478916237,2.1912008281573505,1.0726157900070943,15
n03000134,489,0.828,0.3810488888888889,0.5405374401084744,0.4469511111111111,0.7280635717273108,1.654557420204015,1.0487542888131067,15
n02840245,446,0.7453333333333333,0.3740266666666667,0.5060570146100166,0.3713066666666667,0.6865750219362388,1.9365785813630045,1.0896853967757083,15
n02791270,424,0.736,0.2239288888888889,0.7004703179995988,0.512071111111111,0.8043854800073705,1.798002496878901,1.0669630041209426,15
n04479046,869,0.7266666666666667,0.3582222222222222,0.5090301598091072,0.36844444444444446,0.7344115552843048,1.7227763923524515,1.0715578305154851,15
n07614500,928,0.724,0.1591288888888889,0.782048265896583,0.5648711111111111,0.8756641673609182,1.7637524285317787,1.075617166408544,15
