synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n03042490,500,0.9469999999999998,0.3079,0.6748325701117635,0.6391,0.7466019417475728,0.7371395617070358,1.0000000000000004,20
n03717622,640,0.9550000000000001,0.2602,0.7304720821779113,0.6948,0.7836864406779661,0.8862244897959185,0.9999999999999998,20
n02892201,458,0.931,0.2697,0.7128784112970031,0.6613,0.7583592938733126,0.8667103538663172,1.0,20
n01698640,50,0.9210526315789473,0.16773684210526316,0.819913486320839,0.7533157894736843,0.833931019934606,1.4002152220700448,1.0144984034390738,19
n03207743,533,0.9452631578947369,0.2969473684210526,0.6873749449978209,0.6483157894736842,0.801656364400168,1.0507549262134266,1.0024210119423025,19
n03598930,611,0.9494736842105262,0.29178947368421054,0.6939663028154782,0.6576842105263158,0.7773990409613496,1.1936192568535677,1.0081769150399567,19
n03814906,679,0.943157894736842,0.2896842105263158,0.6934893349675155,0.6534736842105263,0.7353165522501907,0.8759700860730916,0.9929701932996906,19
n07880968,965,0.9073684210526315,0.2964210526315789,0.6763097241114523,0.6109473684210527,0.7445279866332498,1.4375232198142416,1.0154531179606958,19
n01984695,123,0.8677777777777778,0.23316666666666666,0.7320812621481565,0.6346111111111111,0.8004523312456507,1.0612225938312896,1.0024660154981615,18
n01641577,30,0.8244444444444444,0.27405555555555555,0.6670973542722691,0.5503888888888889,0.764957264957265,0.8480568395822634,0.9874217597576046,18
n01742172,61,0.8511111111111112,0.25855555555555554,0.6981735295290552,0.5925555555555556,0.7519720531890918,1.0111869548729617,1.0006003977635183,18
n01688243,43,0.911111111111111,0.32822222222222225,0.6413175332072765,0.5828888888888888,0.7278199109185024,1.0353266232484704,0.9976703275804688,18
n02256656,316,0.9666666666666666,0.3734444444444444,0.6156374983713977,0.5932222222222222,0.6810386473429951,0.9887037037037035,1.0004590981064547,18
n03208938,535,0.9566666666666666,0.3516666666666667,0.6343388129843992,0.605,0.7235863095238095,0.8449720670391061,1.001489819566297,18
n04606251,913,0.9033333333333332,0.3254444444444445,0.6418581891066589,0.5778888888888889,0.6939871970736168,0.914381153305204,0.9981671800481718,18
n04200800,788,0.911111111111111,0.2423888888888889,0.7352355935498474,0.6687222222222222,0.7738622176824425,1.4569111595255386,1.0154463931701803,18
n02536864,391,0.9255555555555556,0.3527222222222222,0.6220682566391094,0.5728333333333333,0.6625156374388719,0.9595198213288665,1.0059414054497031,18
n02099429,206,0.8955555555555557,0.3116666666666667,0.6539220697241912,0.5838888888888889,0.7751501501501501,1.2476258309591644,1.0154589371980678,18
n02108422,243,0.8744444444444445,0.3384444444444445,0.6141349610385736,0.536,0.7175222945288021,1.2126696832579185,1.0184305529165876,18
n02099712,208,0.8622222222222222,0.31683333333333336,0.6329319461779571,0.5453888888888889,0.7385585585585585,1.172879330943847,1.0069957328081403,18
