synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n01737021,58,0.8347368421052631,0.34305263157894733,0.5949500145124949,0.49168421052631583,0.6821883368858284,2.204861930611282,1.028090351335736,19
n01985128,124,0.7684210526315789,0.27757894736842104,0.6509955013120801,0.4908421052631579,0.7319362235375673,3.8648984666390387,1.038489591162928,19
n03041632,499,0.631578947368421,0.3185789473684211,0.5041798107116882,0.313,0.7112954620371388,3.193877551020409,1.0355665839536805,19
n03141823,523,0.6757894736842105,0.3454210526315789,0.4938436358758964,0.3303684210526316,0.6912132495970655,2.6013261500207236,1.0317564679969755,19
n15075141,999,0.5957894736842105,0.20810526315789474,0.6574157923452656,0.3876842105263158,0.8039540475554369,3.1014736842105264,1.0350666413731566,19
n07860988,961,0.5157894736842106,0.15710526315789472,0.696527113829152,0.35868421052631577,0.9191872811800493,3.065677013045434,1.0348650044036807,19
n04548362,893,0.6957894736842105,0.2850526315789474,0.5971768496094763,0.4107368421052632,0.7439618818117093,2.269264321023554,1.0287710509837527,19
n03666591,626,0.8189473684210526,0.42784210526315786,0.49042906141478954,0.39110526315789473,0.6450483593425503,1.889397406559877,1.0241038574440815,19
n04154565,784,0.5431578947368422,0.23963157894736842,0.5640895532538452,0.30352631578947364,0.7830776735866443,5.951496388028903,1.043404316911219,19
n04263257,809,0.6610526315789474,0.04152631578947369,0.9379943372122369,0.6195263157894736,0.984059224035448,2.261044948136765,1.0286862860763364,19
n04332243,828,0.6936842105263158,0.33710526315789474,0.5181116457136579,0.35657894736842105,0.7052071668533035,1.9809941520467842,1.025388777479284,19
n04557648,898,0.6294736842105264,0.29347368421052633,0.5367624727627041,0.336,0.7548358074673864,3.500000000000001,1.0370370370370368,19
n01641577,30,0.8244444444444444,0.3731111111111111,0.547142628306128,0.45133333333333325,0.7644986449864498,0.867948717948718,0.9803069794381697,18
n03089624,509,0.7011111111111111,0.31,0.5598356768502818,0.39111111111111113,0.759075907590759,2.0693709582598467,1.0465911456010466,18
n03759954,650,0.6511111111111112,0.3304444444444445,0.5007988360042072,0.32066666666666666,0.7373959862946646,2.166666666666666,1.046733039551711,18
n04192698,787,0.7022222222222223,0.3855555555555556,0.4565399593576582,0.31666666666666665,0.6693294601791333,3.2312925170068034,1.0480445694743228,18
n04116512,767,0.6944444444444444,0.3632222222222222,0.48336425768104685,0.3312222222222222,0.6959319975713418,1.892698412698412,1.0362027912473712,18
n04208210,792,0.7511111111111111,0.38816666666666666,0.4940651295958387,0.36294444444444446,0.6268784153005464,2.0621843434343443,1.041298076156777,18
n04026417,748,0.6088888888888889,0.2783888888888889,0.5471658735067781,0.3305,0.7493365639783085,2.027607361963191,1.0477096211760972,18
n03995372,740,0.6933333333333334,0.3264444444444445,0.5366556490563573,0.3668888888888889,0.7090058479532164,3.3353535353535353,1.0712084347120843,18
n03633091,618,0.5599999999999999,0.19876470588235295,0.6484995345215647,0.36123529411764704,0.8209378013500482,2.6561418685121105,1.1063868119989189,17
