synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n01985128,124,0.7684210526315789,0.45710526315789474,0.41849418961533064,0.3113157894736842,0.5539742212674543,2.594298245614035,1.0317010421663106,19
n15075141,999,0.5957894736842105,0.31157894736842107,0.4840579236783998,0.28421052631578947,0.7060728744939272,2.471395881006865,1.0306818724054014,19
n03085013,508,0.7473684210526316,0.3957894736842105,0.46662212826012867,0.35157894736842105,0.9824561403508772,3.700831024930749,1.0378714313458923,19
n07860988,961,0.5157894736842106,0.24578947368421053,0.5266200667775597,0.27,0.8380116959064327,2.7000000000000006,1.032504780114723,19
n04263257,809,0.6610526315789474,0.06315789473684211,0.9045274086526706,0.5978947368421053,1.007357102433503,2.5995423340961104,1.0317424276826663,19
n04557648,898,0.6294736842105264,0.4118421052631579,0.3483301318288874,0.2176315789473684,0.6498982262285548,3.3481781376518187,1.0363408521303255,19
n01498041,6,0.89,0.3386111111111111,0.6221843354828689,0.5513888888888889,0.899848828420257,1.55320813771518,1.0311152667393904,18
n07248320,921,0.7388888888888889,0.5172222222222222,0.3028707821191018,0.22166666666666668,0.6896825396825397,3.6944444444444478,1.0682730923694779,18
n03041632,499,0.6422222222222222,0.4772222222222222,0.2644522137409655,0.16499999999999998,0.5682367149758454,2.749999999999998,1.0576923076923075,18
n04192698,787,0.7022222222222223,0.5272222222222223,0.2517755080961073,0.17499999999999996,0.5372474747474747,2.916666666666669,1.054216867469879,18
n03657121,622,0.6055555555555556,0.3452777777777778,0.4323669326556635,0.2602777777777778,0.8184027777777777,2.1689814814814796,1.050566206973876,18
n03759954,650,0.6517647058823529,0.4676470588235294,0.29256899330454994,0.18411764705882352,0.6337535014005602,2.301470588235295,1.1008528972126965,17
n04505470,878,0.7694117647058824,0.37911764705882356,0.5031587709090113,0.3902941176470588,1.0523429710867398,2.601960784313725,1.081896376014023,17
n02791270,424,0.71625,0.3075,0.5723991945503899,0.40875,0.7780898876404494,1.9464285714285707,1.0679294578706726,16
n02910353,464,0.605,0.4484375,0.2659013988332295,0.15656250000000002,0.5899064171122994,2.846590909090907,1.1243267504488323,16
n03995372,740,0.69625,0.475,0.3301439507144195,0.22125,0.5645161290322581,2.458333333333334,1.1288265306122451,16
n03633091,618,0.5675,0.309375,0.4612851588790566,0.258125,0.7347074468085106,2.5812500000000007,1.1434108527131783,16
n07930864,968,0.45125,0.28125,0.37921708523996644,0.17,0.8214285714285714,2.266666666666668,1.0932475884244366,16
n07734744,947,0.404,0.20166666666666666,0.5008012455380876,0.20233333333333334,0.9560878243512974,2.697777777777779,1.1729468599033814,15
