synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n07880968,965,0.9073684210526315,0.2632280701754386,0.7141582623572417,0.644140350877193,0.7367719298245614,1.3419590643274855,1.0129054684094658,19
n02113023,263,0.9266666666666666,0.33755555555555555,0.6386060237486386,0.589111111111111,0.7037299338999055,0.9481402002861229,1.004966071496266,18
n07716906,940,0.9033333333333334,0.33237037037037037,0.6347862679401993,0.5709629629629629,0.6703108731221181,0.9268879268879269,0.9940163004229857,18
n03485794,591,0.851764705882353,0.30627450980392157,0.6406726320130944,0.5454901960784314,0.7662652689941956,0.9011401917595232,0.9894018066718826,17
n04200800,788,0.9105882352941177,0.30627450980392157,0.666781356241279,0.6043137254901961,0.7246436178928396,1.3818149210903872,1.0218358564257626,17
n01950731,115,0.9305882352941177,0.3215686274509804,0.6572892267055259,0.6090196078431372,0.7756456241032998,0.9595897182402372,1.0325866528367873,17
n03938244,721,0.90625,0.3409166666666667,0.6265531148807764,0.5653333333333334,0.6962147887323944,1.6307692307692307,1.0417690417690417,16
n04049303,756,0.87,0.37125,0.5759299803214792,0.49874999999999997,0.6765602582496413,0.9422229219143576,0.998698438125751,16
n03160309,525,0.87125,0.3675,0.580100984719602,0.50375,0.6606894150417827,0.9038576555023923,0.9738690552906301,16
n01697457,49,0.885,0.2776666666666667,0.6873989911332032,0.6073333333333333,0.765183615819209,1.367867867867868,1.0315932510474464,16
n02077923,150,0.912,0.3905777777777778,0.5744264146447472,0.5214222222222222,0.6193315266485998,0.995080576759966,0.9936899165713801,15
n02111500,257,0.8333333333333334,0.35706666666666664,0.5713055009666845,0.47626666666666667,0.6446524064171123,0.7973214285714286,0.9250291337563122,15
n03916031,711,0.868,0.3462222222222222,0.601419253929196,0.5217777777777778,0.654650645304851,1.0900649953574744,0.9927278877050565,15
n04597913,910,0.8480000000000001,0.3536888888888889,0.5848662476556876,0.4943111111111111,0.6524001794526694,1.8262725779967155,1.0514274910190964,15
