synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n01985128,124,0.7684210526315789,0.3742105263157895,0.5307146616661874,0.3942105263157895,0.6321105794790005,3.032388663967611,1.0346732974167703,19
n04263257,809,0.6610526315789474,0.08473684210526317,0.8724046125618391,0.5763157894736842,0.9788910779622854,2.452407614781634,1.030515493024022,19
n15075141,999,0.5957894736842105,0.2681578947368421,0.5589151910277604,0.32763157894736844,0.7355197037820682,2.4269005847953213,1.0302879841112214,19
n03657121,622,0.6055555555555556,0.31833333333333336,0.47532153099289354,0.2872222222222222,0.83130081300813,2.0515873015872996,1.0425489009881022,18
n03372029,558,0.5588888888888889,0.33166666666666667,0.4118372678663764,0.22722222222222221,0.7264492753623188,3.787037037037033,1.0718029350104823,18
n01755581,67,0.8388888888888889,0.2752777777777778,0.6759471840349865,0.5636111111111111,0.8097454996896337,1.9105461393596985,1.0422766733446345,18
n03041632,499,0.6422222222222222,0.39111111111111113,0.3980247523274759,0.25111111111111106,0.6277205040091638,2.2828282828282833,1.0517742873763816,18
n03832673,681,0.43222222222222223,0.15916666666666668,0.6296338228672007,0.27305555555555555,0.9189435336976319,3.6407407407407373,1.071856940355468,18
n04192698,787,0.7058823529411765,0.4302941176470588,0.40032836716843345,0.27558823529411763,0.5996904024767803,2.1199095022624452,1.0692075084155872,17
n03938244,721,0.9070588235294118,0.38441176470588234,0.5784218961873688,0.5226470588235294,0.6218062982768865,1.3401206636500753,1.0128818969448243,17
n03759954,650,0.6552941176470588,0.38794117647058823,0.4192613512413164,0.26735294117647057,0.6994957983193277,2.3248081841432224,1.0769504176292874,17
n07860988,961,0.54,0.23588235294117646,0.5655079684594398,0.30411764705882355,0.8260731319554848,2.4329411764705884,1.0755708118791285,17
n04505470,878,0.7694117647058824,0.36676470588235294,0.524385726897448,0.4026470588235294,1.0213472485768502,2.2369281045751626,1.0889710853915602,17
n01698640,50,0.91375,0.38,0.5876075360858362,0.53375,0.6262626262626263,1.0070754716981132,1.0299083453931503,16
n01498041,6,0.90625,0.3403125,0.6246384614218687,0.5659375,0.7055481283422459,1.019707207207207,0.9954925241864555,16
n03995372,740,0.71875,0.46156250000000004,0.3619081634477292,0.25718749999999996,0.5789650537634409,2.857638888888886,1.1329845814977968,16
n04548362,893,0.70375,0.38375,0.4598156787461914,0.32,0.6555851063829787,2.000000000000001,1.079258010118044,16
n03633091,618,0.5675,0.2365625,0.5915960699131235,0.3309375,0.8036184210526316,3.0085227272727275,1.1401808785529715,16
n03793489,673,0.47625,0.3115625,0.35300639088495717,0.1646875,0.7607044198895028,2.5336538461538436,1.097916666666667,16
n04597913,910,0.815,0.453125,0.44948142165327537,0.361875,0.6042817679558011,1.9560810810810805,1.0867117117117118,16
n01641577,30,0.8253333333333333,0.41333333333333333,0.4988164001656628,0.412,0.6821705426356589,0.7357142857142858,1.0280723643169056,15
n03085013,508,0.7653333333333333,0.452,0.40668926766969127,0.31333333333333335,0.8838709677419355,3.1333333333333337,1.136294953158054,15
n07248320,921,0.7506666666666667,0.386,0.49265391272682674,0.36466666666666664,0.7353293413173653,1.8700854700854705,1.099221301180608,15
