synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n01985128,124,0.7684210526315789,0.4609122807017544,0.41499136570655126,0.30750877192982456,0.5631139129159947,3.159336697909155,1.03538307047079,19
n15075141,999,0.5957894736842105,0.28428070175438597,0.5312023288473859,0.31150877192982457,0.7303258145363408,2.595906432748538,1.0317137511475751,19
n04263257,809,0.6610526315789474,0.10119298245614035,0.8435312128039566,0.5598596491228071,0.9884241395277049,2.6744887696949378,1.0323165011483841,19
n03041632,499,0.6422222222222222,0.44185185185185183,0.3235123118680469,0.20037037037037037,0.5879369538077402,2.2429519071310104,1.0490595307349235,18
n01756291,68,0.4744444444444444,0.26355555555555554,0.44045795998905046,0.2108888888888889,0.9522988505747126,3.9541666666666657,1.0972366747600883,18
n03089624,509,0.7011111111111111,0.46770370370370373,0.33148893063243295,0.2334074074074074,0.6675956893348197,3.0181992337164743,1.0657872484356503,18
n07860988,961,0.5277777777777778,0.22859259259259257,0.5715423010542825,0.2991851851851852,0.8372728734523235,2.4658119658119664,1.053468961919666,18
n03995372,740,0.6988235294117646,0.4536470588235294,0.3636704833604625,0.24517647058823525,0.580403266122313,2.419504643962847,1.0984608897322365,17
n03832673,681,0.4388235294117647,0.18101960784313725,0.5888554739989209,0.25780392156862747,0.8876232573954438,3.118595825426945,1.1109045744123558,17
n03633091,618,0.5675,0.29500000000000004,0.4872098470294382,0.27249999999999996,0.75,2.7250000000000005,1.142397987702627,16
n04505470,878,0.78,0.38325000000000004,0.5074630226886508,0.39675,0.9820859872611465,2.1103723404255312,1.098421926910299,16
n04192698,787,0.70875,0.50675,0.29146757700956294,0.20199999999999999,0.5554617117117117,2.9705882352941195,1.1078610603290673,16
n01498041,6,0.8946666666666666,0.3992888888888889,0.555110027046563,0.49537777777777775,0.8358688930117502,1.4627296587926508,1.0532482872667142,15
n03085013,508,0.7706666666666667,0.4639111111111111,0.39618452296342505,0.3067555555555555,0.8089872568745807,2.1501557632398742,1.104496719475116,15
n01755581,67,0.8546666666666667,0.39919999999999994,0.5359325963308328,0.45546666666666663,0.6932307692307692,1.7079999999999995,1.0711821887739104,15
n04357314,838,0.5626666666666666,0.4112,0.28685624732320336,0.1514666666666667,0.6272727272727273,1.9254237288135594,1.1045211473018959,15
n07248320,921,0.7506666666666667,0.4842666666666667,0.3584844444316207,0.2664,0.675043630017452,2.1483870967741936,1.1294516676088187,15
