synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n01737021,58,0.8347368421052631,0.42226315789473684,0.5003981538178605,0.4124736842105263,0.6081440443213296,1.9641604010025064,1.0251613873754848,19
n01985128,124,0.7684210526315789,0.35810526315789476,0.543173027090307,0.41031578947368424,0.6931908605206321,6.216905901116422,1.0437949363360068,19
n02971356,478,0.5778947368421052,0.20742105263157895,0.6429405092728925,0.3704736842105263,0.8369365864502862,5.529457973291441,1.0427066822699869,19
n04557648,898,0.6294736842105264,0.31663157894736843,0.49936615229616166,0.31284210526315787,0.7476678567315443,4.227596017069698,1.039687953682811,19
n15075141,999,0.5957894736842105,0.16457894736842107,0.7317849053765035,0.43121052631578943,0.848143200641197,3.4496842105263155,1.036812999076195,19
n03692522,633,0.5347368421052632,0.2811578947368421,0.4837357234980325,0.25357894736842107,0.7631020225723545,3.0924261874197705,1.0350161117078411,19
n03995372,740,0.6831578947368421,0.3303684210526316,0.5281664653803237,0.3527894736842105,0.6882133391031535,2.652552433715868,1.0321517661913706,19
n03793489,673,0.4705263157894737,0.19957894736842105,0.5834207587015499,0.2709473684210526,0.8260279180924448,2.1003671970624236,1.0268992549594564,19
n04263257,809,0.6610526315789474,0.0561578947368421,0.914352830459224,0.6048947368421053,1.0116206916003836,2.5961147503953,1.0317153962853576,19
n07860988,961,0.5157894736842106,0.16657894736842105,0.6798492134807192,0.34921052631578947,0.9068781856709237,2.9345422379478108,1.0340850646010942,19
n04154565,784,0.5431578947368422,0.25463157894736843,0.5401018230574856,0.2885263157894737,0.7652653193558846,5.343079922027297,1.0423638576209306,19
n04208210,792,0.75,0.4237222222222223,0.4460345290335209,0.3262777777777778,0.5996647011215169,2.0265700483091798,1.0409244784743268,18
n02769748,414,0.48444444444444446,0.13977777777777778,0.7145001375687061,0.3446666666666667,0.8932733356409369,2.114519427402864,1.0442862192597082,18
n04254120,804,0.7244444444444444,0.4081666666666667,0.4453911855711121,0.31627777777777777,0.6672303645246147,4.720563847429522,1.0460650827775024,18
n04357314,838,0.5566666666666666,0.29733333333333334,0.4772441336186455,0.25933333333333336,0.7342389411354929,2.673539518900344,1.0465429109496904,18
n02910353,464,0.6044444444444445,0.3259444444444444,0.468439316410193,0.27849999999999997,0.6934727937814358,3.0271739130434794,1.0513401283503203,18
n03908714,710,0.7222222222222222,0.387,0.4731858303182116,0.3352222222222222,0.6528221512247071,2.108315863032844,1.049044663502495,18
n03532672,600,0.47111111111111115,0.24344444444444444,0.4923492156124037,0.22766666666666666,0.774365972933015,3.9941520467836304,1.0716246960069036,18
n01498041,6,0.8988235294117647,0.30611764705882355,0.6602236808946449,0.5927058823529412,0.9376788553259141,1.64640522875817,1.04331258995413,17
n04493381,876,0.40588235294117647,0.20023529411764707,0.5039314385417158,0.2056470588235294,0.8418575851393189,2.937815126050422,1.0677417384399244,17
n04597913,910,0.8176470588235294,0.3492352941176471,0.5783555596680745,0.46841176470588236,0.672277588721439,1.8887571157495255,1.057840480365588,17
n03141823,523,0.6894117647058824,0.37641176470588233,0.46176097579076636,0.313,0.6509271767161979,2.268115942028987,1.0531628532974426,17
n03400231,567,0.6211764705882353,0.30176470588235293,0.5205449409647277,0.31941176470588234,0.7573050912338904,1.9716775599128535,1.0657716540069482,17
n03481172,587,0.7023529411764705,0.3412352941176471,0.5249790519577298,0.36111764705882354,0.6978439680957129,1.9625959079283897,1.0555909004934916,17
n03633091,618,0.5599999999999999,0.261,0.5378033984475578,0.299,0.7713987473903967,2.5338983050847457,1.1090504451038579,17
n03832673,681,0.4388235294117647,0.13564705882352943,0.6925673557278585,0.30317647058823527,0.9050816137973514,2.6363171355498722,1.1040658069491451,17
n07614500,928,0.71125,0.1785625,0.7519593429102005,0.5326875,0.8842168998923573,1.8432093425605536,1.0647361583050172,16
n04026417,748,0.6175,0.3179375,0.48754540299289445,0.2995625,0.7157004197271774,1.9579248366013084,1.0877360203340591,16
n03255030,543,0.7887500000000001,0.4346875,0.46058376213343477,0.3540625,0.6131372017353579,2.1855709876543203,1.0814370800244348,16
n03063599,504,0.58,0.23793750000000002,0.5949629451257982,0.3420625,0.802171052631579,1.8003289473684214,1.0559114060811852,16
n03041632,499,0.63625,0.35762499999999997,0.4522169909693283,0.278625,0.6649844720496895,2.628537735849057,1.0751495273007912,16
n03483316,589,0.815,0.48,0.41706578452529786,0.33499999999999996,0.5803571428571428,2.4632352941176467,1.0689215060625399,16
n04370456,841,0.5275,0.2536875,0.5268853995343296,0.2738125,0.8210258525852585,1.837667785234899,1.0773657289002558,16
n04548362,893,0.69625,0.345625,0.5187516615380908,0.350625,0.6774068322981367,1.885080645161291,1.0722477064220184,16
n02105855,230,0.8586666666666666,0.37553333333333333,0.5640602215226789,0.4831333333333333,0.6847222222222221,1.0235875706214688,0.9865904295146688,15
n01755581,67,0.836,0.361,0.5723024227379025,0.475,0.7163677130044842,1.626712328767123,1.0657392865155935,15
n03759954,650,0.6533333333333334,0.31246666666666667,0.533030463756059,0.34086666666666665,0.7353297682709447,1.947809523809523,1.0905988375193303,15
n04116512,767,0.7146666666666667,0.3768666666666667,0.4757691995633172,0.33779999999999993,0.6743867243867244,1.8358695652173906,1.0799232736572888,15
n04141975,778,0.8013333333333333,0.3908,0.5240216108879505,0.4105333333333333,0.6585945945945946,1.6756462585034007,1.0643851006827412,15
n09472597,980,0.892,0.4402,0.5074414763198406,0.45180000000000003,0.7346456692913387,1.0221719457013574,1.0297435897435898,15
