synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n15075141,999,0.5957894736842105,0.2586842105263158,0.5727972041352792,0.33710526315789474,0.7642430819316332,3.064593301435407,1.0348588278062767,19
n04263257,809,0.6610526315789474,0.07236842105263158,0.8892808342554823,0.5886842105263158,1.030701754385965,2.943421052631578,1.0341400272750387,19
n02791270,424,0.7188888888888889,0.3516666666666667,0.513612058879654,0.3672222222222222,0.7495183044315993,1.9849849849849843,1.0410268525080715,18
n03141823,523,0.6822222222222223,0.48250000000000004,0.2965254968100287,0.19972222222222225,0.5814606741573034,2.8531746031746055,1.0581309786607802,18
n03400231,567,0.6177777777777778,0.40694444444444444,0.34482345401833736,0.21083333333333332,0.693632228719948,2.2192982456140355,1.0528506034124014,18
n07860988,961,0.5277777777777778,0.2536111111111111,0.5261632459407816,0.27416666666666667,0.8339540657976412,2.8859649122807025,1.0657596371882088,18
n04370456,841,0.5152941176470588,0.3214705882352941,0.38480688716430395,0.19382352941176473,0.802993386703794,2.2802768166089975,1.0873690289580065,17
n02769748,414,0.4870588235294117,0.20029411764705882,0.5915812928368875,0.2867647058823529,0.8507509386733417,2.048319327731094,1.0640619884317366,17
n01755581,67,0.8352941176470587,0.45029411764705884,0.4647260628632114,0.385,0.6958302308265079,2.0263157894736836,1.0679611650485434,17
n01498041,6,0.888235294117647,0.3776470588235294,0.5763678307957463,0.5105882352941177,1.0037950664136623,2.1274509803921573,1.0637254901960786,17
n03995372,740,0.6988235294117646,0.4488235294117647,0.3738176242978374,0.25,0.5894935514312677,2.6315789473684186,1.0952902519167576,17
n03832673,681,0.4388235294117647,0.18705882352941178,0.5752918807827779,0.25176470588235295,0.8884603021536482,3.356862745098036,1.1302568165313263,17
n03692522,633,0.54,0.37323529411764705,0.3205397427130112,0.16676470588235293,0.6887524240465417,3.335294117647056,1.0881873140773437,17
n04357314,838,0.565,0.408125,0.29239105748726757,0.156875,0.6330213903743315,2.0916666666666646,1.0818965517241377,16
n02443484,359,0.745,0.4834375,0.35174679626262684,0.2615625,0.7767857142857142,3.0772058823529425,1.1213826366559487,16
n03633091,618,0.5675,0.3421875,0.40436747949457386,0.2253125,0.703542780748663,2.3717105263157876,1.1350755667506298,16
n03291819,549,0.60375,0.376875,0.3810400305974342,0.226875,0.7462574850299402,1.9728260869565217,1.088129496402878,16
n01756291,68,0.48666666666666664,0.21866666666666668,0.5571530325331114,0.26799999999999996,0.9528455284552846,2.6800000000000006,1.1937639198218268,15
n03085013,508,0.764,0.4423333333333333,0.4217030904125973,0.32166666666666666,0.8141119221411192,1.949494949494949,1.0903954802259885,15
n02910353,464,0.5986666666666667,0.43066666666666664,0.28602410816026436,0.16800000000000004,0.6089126559714795,3.054545454545452,1.1626297577854665,15
n07248320,921,0.748,0.5273333333333333,0.2990497521697265,0.22066666666666668,0.661072261072261,2.94222222222222,1.1644678979771328,15
