synset,mean_rel_drop,max_rel_drop,fragile_count
n01773797,0.9737777777777777,1.0,75
n03710637,0.9621052631578948,1.0,75
n04263257,0.9236036036036036,1.0,75
n01775062,0.8525925925925927,1.0,74
n04356056,0.8523456790123457,1.0,75
n07614500,0.7809009009009009,1.0,75
n03450230,0.7765853658536586,1.0,73
n03832673,0.7664197530864199,1.0,75
n02871525,0.7634285714285715,1.0,75
n03782006,0.7617391304347827,1.0,74
n04041544,0.758,1.0,75
n03950228,0.75125,1.0,74
n04239074,0.7368888888888889,1.0,74
n02791270,0.7356666666666666,1.0,75
n01729977,0.7313725490196079,1.0,71
n07860988,0.7268817204301076,1.0,72
n03216828,0.7219047619047618,1.0,75
n10148035,0.7126666666666667,1.0,75
n01755581,0.7094573643410853,1.0,73
n02769748,0.6944444444444445,1.0,69
n02988304,0.6704166666666667,1.0,69
n03633091,0.6675,1.0,72
n01498041,0.6663768115942028,1.0,66
n02412080,0.6631578947368421,0.9736842105263158,75
n15075141,0.6514285714285714,1.0,73
n02776631,0.6421333333333333,1.0,65
n04596742,0.6327619047619046,1.0,70
n03028079,0.6307407407407406,1.0,66
n02107574,0.6273333333333334,1.0,65
n03000134,0.6217886178861789,0.975609756097561,66
n03899768,0.62125,1.0,52
n04476259,0.617,1.0,66
n04505470,0.6107407407407408,0.9722222222222222,71
n01985128,0.6053333333333334,1.0,55
n03657121,0.6033333333333334,1.0,75
n04597913,0.5898550724637682,0.9782608695652174,62
n04154565,0.5895495495495495,1.0,63
n04026417,0.5862745098039216,1.0,60
n01737021,0.5854263565891474,0.9767441860465116,57
n01697457,0.5841134751773048,1.0,55
n03770439,0.5834146341463414,1.0,58
n04591713,0.5827450980392157,0.911764705882353,74
n01740131,0.5797101449275363,1.0,58
n03938244,0.5781560283687942,1.0,62
n02894605,0.5764102564102562,1.0,61
n07836838,0.5745098039215686,1.0,55
n03089624,0.5736842105263157,1.0,57
n03085013,0.5710569105691056,0.975609756097561,61
n02097130,0.5699290780141844,1.0,66
n02730930,0.5650370370370371,0.9777777777777777,59
n03637318,0.5612903225806453,0.9354838709677419,70
n03532672,0.5604597701149424,1.0,58
n03916031,0.5603030303030304,1.0,59
n04525038,0.56,1.0,52
n03763968,0.5583739837398375,0.975609756097561,55
n01693334,0.5577777777777777,1.0,60
n04004767,0.5575,1.0,59
n03793489,0.5542857142857144,1.0,53
n02808304,0.549059829059829,0.9743589743589743,52
n03958227,0.5471111111111111,1.0,47
n02747177,0.545982905982906,1.0,54
n04090263,0.5458585858585858,1.0,55
n03496892,0.5446808510638298,1.0,54
n03223299,0.5424390243902438,0.975609756097561,52
n07583066,0.5383703703703703,0.9777777777777777,51
n02971356,0.5347126436781608,1.0,54
n04392985,0.5333333333333333,1.0,55
n04296562,0.532972972972973,1.0,50
n03041632,0.5308771929824563,0.9736842105263158,55
n04141975,0.5303030303030304,0.9545454545454545,49
n04200800,0.5295652173913042,1.0,45
n04435653,0.5290909090909092,0.9318181818181819,58
n03908618,0.5273333333333334,0.975,51
n04033995,0.5268571428571429,1.0,51
n04275548,0.5268468468468469,1.0,60
n03459775,0.526829268292683,1.0,53
n07920052,0.5261538461538461,0.9743589743589743,58
n02123159,0.5222222222222221,1.0,47
n03291819,0.5220833333333333,1.0,52
n04548362,0.521951219512195,0.975609756097561,51
n04557648,0.5195959595959597,0.9696969696969697,53
