synset,mean_rel_drop,max_rel_drop,fragile_count
n01773797,0.9214285714285713,1.0,75
n03710637,0.9207843137254901,1.0,75
n04263257,0.899809523809524,1.0,75
n01775062,0.844102564102564,1.0,70
n07614500,0.7829059829059829,1.0,75
n04356056,0.7706666666666667,1.0,75
n03782006,0.7561904761904761,1.0,75
n02871525,0.7535135135135135,1.0,75
n03216828,0.7419607843137255,1.0,75
n03450230,0.7416666666666666,1.0,75
n01729977,0.7367619047619047,1.0,70
n07860988,0.7346236559139785,1.0,75
n02791270,0.7018518518518518,1.0,75
n04041544,0.7015384615384616,1.0,73
n03832673,0.6915942028985508,1.0,73
n03950228,0.6808602150537635,1.0,74
n01755581,0.6770731707317074,1.0,71
n02769748,0.6755555555555556,0.9583333333333333,70
n10148035,0.6691472868217055,1.0,70
n02412080,0.663931623931624,1.0,75
n01498041,0.6510638297872341,0.9787234042553191,66
n04596742,0.6457657657657657,0.9459459459459459,71
n02776631,0.6341333333333333,1.0,66
n01693334,0.6292307692307694,1.0,66
n03633091,0.6283333333333333,1.0,70
n04239074,0.6280952380952382,1.0,65
n15075141,0.6070588235294118,1.0,67
n03958227,0.6011111111111112,1.0,57
n03028079,0.601081081081081,1.0,67
n03000134,0.593185185185185,0.9777777777777777,67
n02107574,0.5923809523809525,1.0,65
n03899768,0.5895833333333333,1.0,55
n04505470,0.5884684684684683,0.9729729729729729,71
n02808440,0.5843137254901961,1.0,60
n01737021,0.5795348837209303,0.9767441860465116,60
n01740131,0.5717948717948719,1.0,57
n01985128,0.5704065040650407,1.0,55
n07836838,0.5681481481481482,1.0,54
n03938244,0.5636111111111112,1.0,60
n03976657,0.5626666666666665,1.0,53
n03532672,0.5622988505747126,0.9655172413793103,59
n04090263,0.5588888888888888,0.9722222222222222,62
n03657121,0.5583838383838384,0.9696969696969697,69
n03085013,0.5583739837398374,0.9024390243902439,62
n02097130,0.5566666666666665,1.0,66
n01697457,0.5491666666666666,1.0,51
n04004767,0.54875,1.0,58
n03770439,0.5476666666666667,1.0,54
n02747177,0.5436666666666666,1.0,57
n02123159,0.543030303030303,1.0,44
n04591713,0.5410752688172042,0.903225806451613,62
n03637318,0.5402020202020203,1.0,65
n04476259,0.5354385964912282,1.0,50
n03223299,0.533953488372093,0.9767441860465116,56
n04597913,0.5336434108527132,1.0,51
