synset,mean_rel_drop,max_rel_drop,fragile_count
n01773797,0.8911111111111111,1.0,74
n07614500,0.8753846153846154,1.0,75
n04263257,0.8687179487179488,1.0,73
n04041544,0.8641975308641975,1.0,75
n03216828,0.8545454545454546,1.0,75
n10148035,0.8498039215686274,1.0,75
n01729977,0.8387096774193549,1.0,75
n01775062,0.8196078431372549,1.0,74
n01985128,0.79,1.0,75
n04004767,0.784927536231884,1.0,75
n03770439,0.7798095238095238,1.0,74
n03899768,0.7786666666666666,1.0,68
n02808440,0.7758730158730158,1.0,69
n02769748,0.7758333333333334,1.0,74
n02607072,0.7736752136752135,1.0,75
n02894605,0.7728735632183907,1.0,75
n04296562,0.7714814814814815,1.0,72
n02791270,0.7707692307692307,1.0,75
n02776631,0.7684210526315789,1.0,73
n01498041,0.76,1.0,72
n07860988,0.76,1.0,74
n01693334,0.7585185185185186,1.0,74
n03832673,0.7573333333333335,1.0,69
n03938244,0.7563636363636363,1.0,73
n03532672,0.7552941176470588,1.0,74
n02871525,0.7519047619047619,1.0,72
n04239074,0.7509090909090909,1.0,66
n04356056,0.7484444444444444,1.0,69
n15075141,0.7478787878787878,1.0,71
n04517823,0.7414035087719297,1.0,69
n04493381,0.7347368421052632,1.0,66
n04208210,0.7337634408602153,1.0,69
n03028079,0.731764705882353,1.0,73
n04548362,0.7295238095238096,1.0,66
n03908618,0.7256565656565657,1.0,66
n03995372,0.7236781609195401,1.0,73
n01740131,0.7199999999999999,1.0,68
n04366367,0.7187878787878789,1.0,72
n01737021,0.7156862745098039,1.0,66
n04067472,0.7106306306306306,1.0,65
n04597913,0.7080952380952381,1.0,72
n07880968,0.7076666666666667,1.0,63
n02097658,0.7056410256410257,1.0,72
n04200800,0.7047619047619048,1.0,67
n02988304,0.7043478260869565,1.0,64
n01698640,0.7036363636363636,1.0,67
n03481172,0.7007407407407408,1.0,70
n02730930,0.6983333333333334,1.0,70
n03908714,0.6977777777777779,1.0,67
n03450230,0.6970114942528736,1.0,70
n02808304,0.6959139784946236,1.0,63
n02412080,0.6928735632183909,1.0,73
n03180011,0.6880808080808081,1.0,64
n01641577,0.6845614035087718,1.0,71
n04560804,0.6839215686274511,1.0,58
n03710637,0.6810256410256411,1.0,65
n03498962,0.6803703703703704,1.0,71
n03207941,0.6795238095238094,1.0,62
n03529860,0.6781609195402298,1.0,66
n03814906,0.6767407407407408,1.0,67
n03657121,0.6764102564102563,1.0,73
n04332243,0.6761290322580645,0.9677419354838709,72
n01697457,0.6755555555555556,1.0,63
n04070727,0.6736842105263157,1.0,59
n01755581,0.6726881720430108,1.0,62
n02747177,0.6719999999999999,1.0,62
n04026417,0.6709333333333334,1.0,60
n04141975,0.6685714285714284,1.0,62
n02840245,0.6683333333333333,1.0,61
n03759954,0.6671428571428571,1.0,69
n01729322,0.6671264367816092,1.0,59
n03916031,0.6644444444444444,1.0,65
n02971356,0.6615384615384614,1.0,63
n01978455,0.6586666666666665,1.0,67
n04376876,0.6553535353535355,1.0,65
n02236044,0.6540350877192983,1.0,61
n03459775,0.6529292929292931,1.0,65
n01877812,0.6524242424242424,1.0,63
n02910353,0.6523076923076923,1.0,72
n02123159,0.6518518518518518,1.0,65
n04550184,0.6512280701754385,1.0,61
n02087394,0.6504761904761904,1.0,64
n01950731,0.6504065040650406,1.0,65
n04357314,0.6498550724637682,1.0,56
n04192698,0.6497435897435898,1.0,65
n03666591,0.649032258064516,1.0,60
n04591713,0.6483333333333333,1.0,71
n07565083,0.6476666666666667,1.0,59
n01742172,0.6476666666666666,1.0,60
n02113712,0.6468965517241378,1.0,60
n04254120,0.6452380952380953,1.0,61
n04554684,0.6447863247863248,1.0,61
n03124170,0.643859649122807,1.0,62
n07579787,0.6437333333333333,1.0,57
n04081281,0.6432,1.0,56
n03133878,0.643157894736842,1.0,58
n07920052,0.643047619047619,1.0,60
n12144580,0.6425641025641026,1.0,64
n07836838,0.6390123456790124,1.0,58
n03291819,0.6364912280701754,1.0,64
n03014705,0.6361904761904763,1.0,65
n03032252,0.6358333333333334,1.0,58
n03125729,0.6346666666666668,1.0,58
n03110669,0.6344086021505376,1.0,59
n03976657,0.6329411764705881,1.0,56
n01689811,0.6319999999999999,1.0,60
n03141823,0.6311111111111111,1.0,56
n07583066,0.6299099099099099,1.0,59
n07753592,0.6293939393939394,1.0,61
n04136333,0.6290909090909091,1.0,58
n04557648,0.6286419753086419,1.0,68
n03793489,0.6280701754385966,1.0,53
n03476991,0.6277777777777778,1.0,67
n03089624,0.6261904761904762,1.0,57
n03372029,0.6260317460317459,1.0,57
n02536864,0.6257364341085271,1.0,60
n02981792,0.6256410256410256,1.0,59
n04507155,0.6252873563218391,1.0,67
n02097130,0.6248148148148147,1.0,63
n03763968,0.6234343434343435,1.0,62
n04277352,0.6229787234042554,1.0,61
n03743016,0.6229059829059829,1.0,57
n02869837,0.6207017543859648,1.0,60
n03761084,0.62,1.0,52
n07693725,0.6191666666666666,1.0,61
n04265275,0.6187654320987654,1.0,52
n04326547,0.6178947368421053,1.0,61
n07718747,0.6174814814814815,1.0,66
n03950228,0.6171428571428571,1.0,65
n02124075,0.6166666666666666,1.0,51
n01986214,0.6166666666666666,1.0,58
n02098105,0.6163333333333334,1.0,64
n04116512,0.6155555555555556,1.0,60
n03461385,0.6154838709677418,1.0,55
n03742115,0.6153086419753087,1.0,52
n02090721,0.6151724137931034,1.0,58
n03595614,0.614920634920635,1.0,59
n03887697,0.6145833333333334,1.0,59
n03042490,0.6144927536231883,1.0,53
n03637318,0.6141935483870966,0.9677419354838709,72
n04442312,0.6137373737373738,1.0,58
n03527444,0.612,1.0,57
n02091032,0.6117460317460316,1.0,54
n04596742,0.6113333333333333,1.0,66
n07871810,0.6110476190476188,1.0,53
n03787032,0.6108641975308641,1.0,57
n03873416,0.6107407407407408,1.0,54
n01756291,0.6106666666666667,1.0,65
n04118538,0.6104761904761904,1.0,56
n04592741,0.6098765432098766,1.0,58
n02408429,0.6092063492063491,1.0,57
n04447861,0.6083809523809522,1.0,55
n04154565,0.6051851851851853,1.0,55
