model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
alexnet,ILSVRC2012_val_00000293.JPEG,n01440764,0,395,0.4068755,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00002138.JPEG,n01440764,0,764,0.34587938,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00003014.JPEG,n01440764,0,929,0.118279986,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9924389,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9999981,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.34278712,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.95543605,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.99294126,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9996463,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.99890625,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00010306.JPEG,n01440764,0,315,0.3420167,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99999475,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9997242,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9517698,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9936295,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.99985516,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.99989164,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99903405,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.999984,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.97185147,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.23137143,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00021740.JPEG,n01440764,0,391,0.35246837,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.99945015,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.992207,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9999988,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.98277813,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9892078,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00026064.JPEG,n01440764,0,44,0.78453445,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9964349,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00028158.JPEG,n01440764,0,6,0.71607757,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.99954295,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.49539152,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00031094.JPEG,n01440764,0,621,0.11062297,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.99963164,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.9172673,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.33665663,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00037383.JPEG,n01440764,0,44,0.5199153,0,imagenet,none,0,none
alexnet,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.9284318,1,imagenet,none,0,none
alexnet,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.455806,1,imagenet,none,0,none
