model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
alexnet,ILSVRC2012_val_00000293.JPEG,n01440764,0,95,0.18862042,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00002138.JPEG,n01440764,0,413,0.045787904,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00003014.JPEG,n01440764,0,439,0.2825128,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00006697.JPEG,n01440764,0,335,0.13978472,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.16635366,1,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00009111.JPEG,n01440764,0,28,0.036635045,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00009191.JPEG,n01440764,0,235,0.077763006,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00009346.JPEG,n01440764,0,29,0.82734203,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00009379.JPEG,n01440764,0,382,0.14452846,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00009396.JPEG,n01440764,0,29,0.1137042,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00010306.JPEG,n01440764,0,78,0.13455872,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.19242078,1,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8115265,1,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00012503.JPEG,n01440764,0,380,0.10565484,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00013716.JPEG,n01440764,0,29,0.052580215,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00016018.JPEG,n01440764,0,29,0.2816807,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00017472.JPEG,n01440764,0,390,0.045036756,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00017699.JPEG,n01440764,0,392,0.56345403,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9334185,1,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00017995.JPEG,n01440764,0,399,0.13020849,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00018317.JPEG,n01440764,0,862,0.042336144,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00021740.JPEG,n01440764,0,375,0.023211895,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00023559.JPEG,n01440764,0,26,0.02303856,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00024235.JPEG,n01440764,0,29,0.09960319,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.93971294,1,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00025129.JPEG,n01440764,0,522,0.52703726,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00025527.JPEG,n01440764,0,310,0.06927093,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00026064.JPEG,n01440764,0,29,0.038559698,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00026397.JPEG,n01440764,0,95,0.28114533,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00028158.JPEG,n01440764,0,384,0.080578186,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00029930.JPEG,n01440764,0,392,0.6094565,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00030740.JPEG,n01440764,0,400,0.10309224,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00031094.JPEG,n01440764,0,522,0.045770567,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00031333.JPEG,n01440764,0,392,0.0661767,0,imagenet_c,defocus_blur,3,none
alexnet,ILSVRC2012_val_00034654.JPEG,n01440764,0,29,0.022589928,0,imagenet_c,defocus_blur,3,none
