model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
alexnet,ILSVRC2012_val_00000293.JPEG,n01440764,0,10,0.095511526,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00002138.JPEG,n01440764,0,26,0.103934266,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00003014.JPEG,n01440764,0,439,0.1526301,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.10284808,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5224422,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00009111.JPEG,n01440764,0,36,0.11643328,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9225763,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00009346.JPEG,n01440764,0,29,0.9515046,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.964096,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9603138,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00010306.JPEG,n01440764,0,73,0.5247831,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.98830146,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.98732924,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.8228378,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.33159742,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.87381023,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.86607355,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.3286105,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9984273,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00017995.JPEG,n01440764,0,267,0.059856035,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00018317.JPEG,n01440764,0,491,0.13862628,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00021740.JPEG,n01440764,0,174,0.065938644,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00023559.JPEG,n01440764,0,29,0.3598515,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9311,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9977835,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00025129.JPEG,n01440764,0,169,0.12115109,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00025527.JPEG,n01440764,0,302,0.15759276,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00026064.JPEG,n01440764,0,29,0.47574118,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.37788132,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00028158.JPEG,n01440764,0,252,0.12440885,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6150121,1,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00030740.JPEG,n01440764,0,188,0.18331954,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00031094.JPEG,n01440764,0,645,0.059680723,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00031333.JPEG,n01440764,0,390,0.07742049,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00034654.JPEG,n01440764,0,199,0.08149783,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00037375.JPEG,n01440764,0,384,0.05607207,0,imagenet_c,glass_blur,2,none
alexnet,ILSVRC2012_val_00037383.JPEG,n01440764,0,994,0.11936153,0,imagenet_c,glass_blur,2,none
