model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
alexnet,ILSVRC2012_val_00000293.JPEG,n01440764,0,320,0.037939783,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00002138.JPEG,n01440764,0,97,0.07220893,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00003014.JPEG,n01440764,0,88,0.06884544,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00006697.JPEG,n01440764,0,375,0.16810858,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00007197.JPEG,n01440764,0,939,0.17899202,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00009111.JPEG,n01440764,0,468,0.0927905,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00009191.JPEG,n01440764,0,361,0.15643267,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00009346.JPEG,n01440764,0,29,0.49724472,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.1016614,1,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00009396.JPEG,n01440764,0,29,0.8596499,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00010306.JPEG,n01440764,0,157,0.25814602,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00011233.JPEG,n01440764,0,1,0.4539574,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.22767216,1,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00012503.JPEG,n01440764,0,387,0.12423006,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00013716.JPEG,n01440764,0,29,0.67115253,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00016018.JPEG,n01440764,0,29,0.08469243,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00017472.JPEG,n01440764,0,567,0.07495141,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00017699.JPEG,n01440764,0,93,0.23677829,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.72665787,1,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00017995.JPEG,n01440764,0,785,0.1305154,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00018317.JPEG,n01440764,0,90,0.073698446,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00021740.JPEG,n01440764,0,375,0.23947008,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00023559.JPEG,n01440764,0,671,0.06069629,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00024235.JPEG,n01440764,0,29,0.40011775,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.93626964,1,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00025129.JPEG,n01440764,0,240,0.03707114,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00025527.JPEG,n01440764,0,22,0.06371778,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00026064.JPEG,n01440764,0,29,0.118962795,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00026397.JPEG,n01440764,0,157,0.06499414,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00028158.JPEG,n01440764,0,374,0.05144269,0,imagenet_c,motion_blur,5,none
alexnet,ILSVRC2012_val_00029930.JPEG,n01440764,0,696,0.099784,0,imagenet_c,motion_blur,5,none
