model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
alexnet,ILSVRC2012_val_00000293.JPEG,n01440764,0,14,0.11961482,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00002138.JPEG,n01440764,0,351,0.07316484,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00003014.JPEG,n01440764,0,584,0.16415098,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.37179953,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.2995785,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00009111.JPEG,n01440764,0,749,0.060810324,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.962891,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00009346.JPEG,n01440764,0,29,0.44245562,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.98316723,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00009396.JPEG,n01440764,0,944,0.15221341,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00010306.JPEG,n01440764,0,76,0.12864375,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9235658,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.28109217,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00012503.JPEG,n01440764,0,29,0.5712102,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00013716.JPEG,n01440764,0,29,0.23053771,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.48027405,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.12421446,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00017699.JPEG,n01440764,0,88,0.1228262,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9983011,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00017995.JPEG,n01440764,0,644,0.090015054,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00018317.JPEG,n01440764,0,29,0.23384702,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00021740.JPEG,n01440764,0,359,0.11276033,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00023559.JPEG,n01440764,0,103,0.4379354,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9265165,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9989588,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.4077071,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00025527.JPEG,n01440764,0,370,0.15456125,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00026064.JPEG,n01440764,0,333,0.22802196,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00026397.JPEG,n01440764,0,157,0.07609946,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00028158.JPEG,n01440764,0,29,0.09098347,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00029930.JPEG,n01440764,0,359,0.15658493,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00030740.JPEG,n01440764,0,906,0.04977788,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00031094.JPEG,n01440764,0,73,0.16053878,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00031333.JPEG,n01440764,0,390,0.12169972,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00034654.JPEG,n01440764,0,361,0.05500349,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00037375.JPEG,n01440764,0,375,0.14063607,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00037383.JPEG,n01440764,0,76,0.040968508,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00037596.JPEG,n01440764,0,374,0.041195802,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.2389259,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.3362833,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00039905.JPEG,n01440764,0,29,0.60792047,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.2942125,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.47110847,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.41913533,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.8898442,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.8702406,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00046252.JPEG,n01440764,0,96,0.20378822,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.29182675,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.9908777,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.9844056,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00000236.JPEG,n01443537,1,112,0.18766806,0,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.8458043,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.8927929,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.9442241,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.09391244,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.698011,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.637246,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.37606594,1,imagenet_c,zoom_blur,4,none
alexnet,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.6005646,1,imagenet_c,zoom_blur,4,none
