model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
alexnet,ILSVRC2012_val_00000293.JPEG,n01440764,0,48,0.106673375,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.64711124,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.16252625,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7351759,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.99815637,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00009111.JPEG,n01440764,0,471,0.08312123,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.71346337,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00009346.JPEG,n01440764,0,389,0.5789631,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.87800395,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.98230547,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00010306.JPEG,n01440764,0,312,0.15615475,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9921061,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8370598,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00012503.JPEG,n01440764,0,474,0.22590812,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7646755,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9403786,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.95691144,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.98130774,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9927866,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.19850664,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00018317.JPEG,n01440764,0,997,0.703127,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00021740.JPEG,n01440764,0,363,0.2437466,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9822932,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.96924233,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9963086,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8973238,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00025527.JPEG,n01440764,0,309,0.43428552,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00026064.JPEG,n01440764,0,327,0.21558335,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6118913,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00028158.JPEG,n01440764,0,735,0.35458675,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9610985,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00030740.JPEG,n01440764,0,389,0.109832205,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00031094.JPEG,n01440764,0,652,0.1509051,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.9812635,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00034654.JPEG,n01440764,0,389,0.182221,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.4674091,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00037383.JPEG,n01440764,0,329,0.23088245,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.77576834,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00037834.JPEG,n01440764,0,103,0.5284842,0,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.95481735,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.99697816,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.79604185,1,imagenet_c,gaussian_noise,1,none
alexnet,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8835928,1,imagenet_c,gaussian_noise,1,none
