model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
alexnet,ILSVRC2012_val_00000293.JPEG,n01440764,0,395,0.14414518,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.5481124,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00003014.JPEG,n01440764,0,474,0.22582039,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.42876285,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9947077,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00009111.JPEG,n01440764,0,116,0.11187769,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.5088145,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.19428493,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7401059,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.68262523,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00010306.JPEG,n01440764,0,32,0.22071418,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9825133,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00011993.JPEG,n01440764,0,735,0.15836832,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00012503.JPEG,n01440764,0,329,0.31808618,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.34535086,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00016018.JPEG,n01440764,0,329,0.3848169,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.85770744,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9393588,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.99502194,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00017995.JPEG,n01440764,0,390,0.23177312,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00018317.JPEG,n01440764,0,997,0.58038217,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00021740.JPEG,n01440764,0,391,0.26686838,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.6303158,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8720002,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.650808,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8991301,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00025527.JPEG,n01440764,0,309,0.13914521,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00026064.JPEG,n01440764,0,329,0.24378438,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.45524967,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00028158.JPEG,n01440764,0,329,0.16385084,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9701044,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00030740.JPEG,n01440764,0,390,0.289281,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00031094.JPEG,n01440764,0,164,0.08586388,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.97411704,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00034654.JPEG,n01440764,0,327,0.28471088,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.24985611,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00037383.JPEG,n01440764,0,329,0.3889409,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00037596.JPEG,n01440764,0,103,0.2321467,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00037834.JPEG,n01440764,0,103,0.28200474,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.77842546,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.94748986,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.87715715,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.4785219,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00041939.JPEG,n01440764,0,474,0.29959786,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.5351962,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.84164536,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.86993796,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00046499.JPEG,n01440764,0,955,0.32333264,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00048204.JPEG,n01440764,0,389,0.5746039,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.8302116,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.31327766,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.24400921,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.7341655,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.9275903,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00002241.JPEG,n01443537,1,123,0.24230117,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.58828825,1,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00003150.JPEG,n01443537,1,941,0.37642118,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00003735.JPEG,n01443537,1,327,0.37834978,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00004655.JPEG,n01443537,1,329,0.7848131,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00004677.JPEG,n01443537,1,696,0.09825676,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00005870.JPEG,n01443537,1,700,0.13166133,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00006007.JPEG,n01443537,1,27,0.46915853,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00006216.JPEG,n01443537,1,327,0.27684134,0,imagenet_c,impulse_noise,1,none
alexnet,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9801326,1,imagenet_c,impulse_noise,1,none
