model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
alexnet,ILSVRC2012_val_00000293.JPEG,n01440764,0,395,0.17921653,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.42370725,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00003014.JPEG,n01440764,0,474,0.25639844,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6535181,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.93341106,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00009111.JPEG,n01440764,0,116,0.08460823,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.5670887,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00009346.JPEG,n01440764,0,389,0.7015749,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.92550606,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00009396.JPEG,n01440764,0,997,0.2571199,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00010306.JPEG,n01440764,0,32,0.19521421,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.97461647,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.8771296,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00012503.JPEG,n01440764,0,955,0.21938509,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8451552,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7536334,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8914446,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.87143403,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9959985,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00017995.JPEG,n01440764,0,47,0.14361583,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00018317.JPEG,n01440764,0,997,0.627335,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00021740.JPEG,n01440764,0,363,0.27150485,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8107154,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.86121243,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.99733067,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.82431054,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00025527.JPEG,n01440764,0,302,0.22356987,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00026064.JPEG,n01440764,0,327,0.24786022,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00026397.JPEG,n01440764,0,389,0.5739828,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00028158.JPEG,n01440764,0,6,0.1415218,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9744266,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00030740.JPEG,n01440764,0,956,0.079331845,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00031094.JPEG,n01440764,0,214,0.20454727,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.98226684,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00034654.JPEG,n01440764,0,327,0.10738759,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00037375.JPEG,n01440764,0,389,0.2871288,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00037383.JPEG,n01440764,0,109,0.20103528,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.5200758,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00037834.JPEG,n01440764,0,103,0.29931316,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.8915605,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9922989,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.8222037,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.45789555,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00041939.JPEG,n01440764,0,735,0.17703876,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.91452366,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.6242727,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.9501768,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.77136827,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00048204.JPEG,n01440764,0,389,0.81434745,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.80542904,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00000236.JPEG,n01443537,1,108,0.17273289,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.48803926,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.43521625,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.99225086,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00002241.JPEG,n01443537,1,885,0.19105937,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.29960907,1,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00003150.JPEG,n01443537,1,941,0.34149256,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00003735.JPEG,n01443537,1,327,0.17587496,0,imagenet_c,shot_noise,1,none
alexnet,ILSVRC2012_val_00004655.JPEG,n01443537,1,107,0.25564703,0,imagenet_c,shot_noise,1,none
