model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.52658945,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.6041464,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.82583886,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.70890474,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.649866,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.5955317,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.5984676,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.70337963,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.679116,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.734924,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.7583034,0,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.63051397,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.67923117,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7089642,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.69208634,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7003025,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7302962,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.69904625,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7289006,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.7764537,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6203039,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.77878684,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.7297016,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6481619,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7565715,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.6818208,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.72664106,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.70857716,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7271102,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.8090901,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.77833056,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.84875333,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.62919587,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.6934461,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.7069263,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.3153025,0,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.369717,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.67768884,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7098923,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.6628924,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.7691433,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.64725196,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.5969316,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.83219045,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.6504668,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.71358,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.7747652,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.66450685,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.6065321,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.58649814,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00000236.JPEG,n01443537,1,1,0.28226307,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.7815423,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.83811104,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.8226574,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.7281318,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.67047834,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.75169957,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.71678895,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.6879765,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.73604584,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.7542838,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.48480377,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.7528112,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.68310285,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.6299117,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.71198183,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.70069224,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.37390345,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.6664455,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.7643977,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.7769909,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.77766144,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.7401651,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00020436.JPEG,n01443537,1,1,0.28326082,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.88664156,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.7353651,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.7664852,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.7035132,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.76163507,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.75172883,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.75412154,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.70820713,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.76950085,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.7886563,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.6613221,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.64885914,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.64832157,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.6606194,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00038057.JPEG,n01443537,1,1,0.748262,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.69564587,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.68161786,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00046915.JPEG,n01443537,1,58,0.68653136,0,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.7753822,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.7690043,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.74973196,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.6347878,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00048864.JPEG,n01443537,1,1,0.85693043,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.71530104,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.64670444,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00049712.JPEG,n01443537,1,1,0.66342163,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.69423586,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.75822407,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00004311.JPEG,n01484850,2,2,0.7647441,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.67489654,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.7960164,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00008848.JPEG,n01484850,2,2,0.5593969,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.78011066,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00015157.JPEG,n01484850,2,148,0.4256386,0,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.791314,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.68274254,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.58928156,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.7690091,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00017105.JPEG,n01484850,2,2,0.811332,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.67439485,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00019409.JPEG,n01484850,2,2,0.74334604,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.77463573,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.80581105,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00023185.JPEG,n01484850,2,2,0.7428704,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00024940.JPEG,n01484850,2,2,0.6700121,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00025900.JPEG,n01484850,2,2,0.76647323,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00027063.JPEG,n01484850,2,2,0.8627236,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.78797597,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00027514.JPEG,n01484850,2,2,0.78751373,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00028028.JPEG,n01484850,2,2,0.7374544,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00029481.JPEG,n01484850,2,2,0.81975055,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.74677783,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.69796896,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00031720.JPEG,n01484850,2,149,0.51484656,0,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00031808.JPEG,n01484850,2,2,0.6649065,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00032288.JPEG,n01484850,2,2,0.76654637,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00032417.JPEG,n01484850,2,3,0.8418905,0,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00034950.JPEG,n01484850,2,2,0.7545999,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00035223.JPEG,n01484850,2,2,0.7415789,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00035774.JPEG,n01484850,2,2,0.77309567,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00036737.JPEG,n01484850,2,2,0.57069963,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037050.JPEG,n01484850,2,2,0.8689221,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037135.JPEG,n01484850,2,2,0.7875203,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037488.JPEG,n01484850,2,2,0.73642623,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00037998.JPEG,n01484850,2,2,0.79767066,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00039304.JPEG,n01484850,2,2,0.588662,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00039445.JPEG,n01484850,2,2,0.73287237,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00039534.JPEG,n01484850,2,2,0.7046163,1,imagenet,none,0,none
convnext_base,ILSVRC2012_val_00039865.JPEG,n01484850,2,2,0.6658623,1,imagenet,none,0,none
