model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,95,0.09857348,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,351,0.16251941,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,439,0.13735467,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,522,0.2508589,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,59,0.11415286,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,114,0.049568266,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,574,0.052260824,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.68971914,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.30500564,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.60575664,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,38,0.041486457,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5618821,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.62631273,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.17410935,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.25621805,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.07883659,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,941,0.04764447,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,933,0.16538937,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.71621454,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.15878133,1,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,522,0.06902083,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,952,0.056852147,0,imagenet_c,defocus_blur,5,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.16885692,1,imagenet_c,defocus_blur,5,none
