model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,671,0.08214905,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,271,0.107443616,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,518,0.2108424,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,518,0.0893415,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.1908868,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,345,0.32310826,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.26899153,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.6201253,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.66396254,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.62456316,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,476,0.10880017,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5595852,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.676051,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.39252478,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.44944158,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.5759884,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.70341074,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,450,0.291091,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7045997,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,413,0.072094746,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,843,0.2483702,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,545,0.1907651,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.22744992,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.604055,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7532207,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.5263344,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.49793434,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00026064.JPEG,n01440764,0,998,0.3113078,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6951261,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00028158.JPEG,n01440764,0,843,0.24338938,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.5416359,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00030740.JPEG,n01440764,0,518,0.12764029,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00031094.JPEG,n01440764,0,671,0.555859,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00031333.JPEG,n01440764,0,129,0.105339065,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.5661044,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.140026,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00037383.JPEG,n01440764,0,358,0.11217338,0,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.67263156,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.63766897,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.59441763,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.4986587,1,imagenet_c,motion_blur,5,none
convnext_base,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.45681584,1,imagenet_c,motion_blur,5,none
