model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,331,0.0964161,0,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.73631424,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.69571924,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7922955,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5283925,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,150,0.23463532,0,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6218295,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.69729435,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7324868,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.740752,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,135,0.260233,0,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.72830397,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.6049201,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.70125985,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.82683474,1,imagenet_c,zoom_blur,2,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.59559697,1,imagenet_c,zoom_blur,2,none
