model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,58,0.06451901,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,764,0.072664574,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.33090106,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.111327685,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,647,0.089468345,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,669,0.5360021,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,394,0.20104802,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.26793867,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.4666297,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.73514324,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,676,0.051258318,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.2941876,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,111,0.015158261,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,394,0.30610338,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.15995461,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.26562887,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,669,0.088987984,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.3575758,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.65078074,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.43775326,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.5896927,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,902,0.097533256,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,395,0.06783344,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00024235.JPEG,n01440764,0,389,0.09495101,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.588379,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.58982414,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.60855234,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00026064.JPEG,n01440764,0,38,0.08021359,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6067702,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00028158.JPEG,n01440764,0,974,0.019927297,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00029930.JPEG,n01440764,0,149,0.103485435,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.2860835,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00031094.JPEG,n01440764,0,913,0.098176,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00031333.JPEG,n01440764,0,149,0.17313357,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.13211043,1,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00037375.JPEG,n01440764,0,752,0.047044355,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00037383.JPEG,n01440764,0,680,0.09940767,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00037596.JPEG,n01440764,0,572,0.014725077,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00037834.JPEG,n01440764,0,389,0.2875304,0,imagenet_c,contrast,5,none
convnext_base,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.3339629,1,imagenet_c,contrast,5,none
