model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.44802698,0,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.6762736,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.69628406,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.708979,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.6315612,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.36258626,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.64596534,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.70627415,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.711176,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7464826,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,227,0.0903839,0,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.48969015,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.53289914,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.701278,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7427243,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.71948975,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7112872,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.73532563,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7450711,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8256667,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6709634,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.6176228,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.72144735,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.671319,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7293015,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8195118,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.673075,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00026064.JPEG,n01440764,0,29,0.34003872,0,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7790251,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.33514327,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.7783864,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.68726414,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.14558187,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.67397916,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.7674579,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.43566176,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.24650043,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.75542045,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.6543458,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.6849101,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.758994,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.66837853,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.5348844,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00041939.JPEG,n01440764,0,621,0.60622317,0,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.68360126,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.72574526,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.77695554,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.6872926,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.6337362,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.4374302,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.51620126,0,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.53269374,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.82952136,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.86877996,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.46819445,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.63351256,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.7435381,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.6310282,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.6953619,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00004677.JPEG,n01443537,1,409,0.40154684,0,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.1811848,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.743445,0,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.48946702,1,imagenet_c,pixelate,5,none
convnext_base,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.7287396,1,imagenet_c,pixelate,5,none
