model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.6656651,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7755202,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.7052209,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.77301264,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5049705,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.7589691,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6237105,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7602806,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7160064,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7880659,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,135,0.31456986,0,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7253037,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7001475,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.73904896,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7330544,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7182605,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7858969,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.6744254,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.77952194,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8725371,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.7628015,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.84893847,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.7019789,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.67587507,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7992997,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7815686,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7551699,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.723714,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.74338776,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.83286566,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.72281605,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8434094,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.6952732,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.71573037,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.7533881,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.59430945,1,imagenet_c,elastic_transform,1,none
convnext_base,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.7005932,1,imagenet_c,elastic_transform,1,none
