model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,149,0.15641826,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.7073449,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.53284365,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7514817,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8209682,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.35756072,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6937306,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7357448,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.70250493,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.7285003,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,9,0.12899505,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7391452,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.693098,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.69175506,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.8351539,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.70175713,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.8079841,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.68028885,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.69317365,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.73653734,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.783362,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.322513,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.73331034,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6552319,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.73497856,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.80127,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.73571813,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5457039,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.75330114,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00028158.JPEG,n01440764,0,103,0.11912409,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.7642039,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8393666,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.6643499,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.72410387,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.7711039,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.35496876,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.4828207,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7337274,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.73996234,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.75909996,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.7556666,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.6710961,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.6792864,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.8401952,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.6674848,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.76071525,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.6682926,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.6643396,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.634886,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.73141026,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.71329314,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.37865788,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.90289766,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.9159415,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00002241.JPEG,n01443537,1,211,0.11459854,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.48672962,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00003150.JPEG,n01443537,1,29,0.10098206,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.37087494,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.45698705,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.20850231,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00005870.JPEG,n01443537,1,122,0.23793392,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.7491501,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00006216.JPEG,n01443537,1,766,0.3811777,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.6903321,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00010363.JPEG,n01443537,1,881,0.11543053,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.5060136,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.2146563,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00012880.JPEG,n01443537,1,814,0.23657748,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.22110125,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.7078916,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00016962.JPEG,n01443537,1,29,0.33800396,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.7842026,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.74121875,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00020436.JPEG,n01443537,1,303,0.22930801,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.56072193,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.7587074,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.35989878,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00022138.JPEG,n01443537,1,26,0.042265173,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.47021136,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00028713.JPEG,n01443537,1,126,0.20199889,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00030060.JPEG,n01443537,1,556,0.06731922,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.34436208,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00031138.JPEG,n01443537,1,78,0.28455958,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00032235.JPEG,n01443537,1,78,0.12863962,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.4412026,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.7200784,1,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00034386.JPEG,n01443537,1,103,0.2764865,0,imagenet_c,jpeg_compression,5,none
convnext_base,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.55677533,1,imagenet_c,jpeg_compression,5,none
