model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.16866602,0,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.11853666,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.2506628,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.65417296,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.595307,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.6866757,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.52851593,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.63248444,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.5491318,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.6872434,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.20690003,0,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.5474986,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.4494332,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.6680299,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.68389666,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.66260576,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.75131917,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.63300216,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.59719706,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.80493104,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.7336136,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,391,0.37835634,0,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.6042579,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6084286,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.61477995,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7782165,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.6649686,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5098525,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7175121,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00028158.JPEG,n01440764,0,237,0.14004475,0,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.7770951,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.78129685,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.14729661,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.70337176,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.74655735,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.5834934,0,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.24794821,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.64606947,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.63119346,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.6330473,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.7510772,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.59373194,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.5611116,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.78668654,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.52551275,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.63269776,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.46342203,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.6292287,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.55054367,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.32560125,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00000236.JPEG,n01443537,1,110,0.22752321,0,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.49568066,1,imagenet_c,impulse_noise,2,none
convnext_base,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.83118236,1,imagenet_c,impulse_noise,2,none
