model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_base,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.31173053,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.63054,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.76568776,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.66520226,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.6637142,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.57770354,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.54076266,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7036196,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.70023173,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.75970376,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.09073445,0,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.6271451,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.5997192,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.63824546,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.65254885,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.54866546,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.7245216,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.69363713,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.66380394,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8297364,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.81720716,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.7801788,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.7312793,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6793121,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.68153054,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8502295,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.53435254,1,imagenet_c,pixelate,3,none
convnext_base,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5874345,1,imagenet_c,pixelate,3,none
