model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
convnext_large,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.49367538,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.49638882,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.4940783,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.7973062,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7317148,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.88107544,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6313808,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.80141747,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7498502,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8094338,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.7059059,0,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7515907,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.7248876,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7764734,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7986447,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7922923,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.85149753,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.7712048,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.761292,1,imagenet_c,impulse_noise,1,none
convnext_large,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.8425195,1,imagenet_c,impulse_noise,1,none
