model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.8561205,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.86850256,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.79027385,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.999741,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9996371,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.99680054,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.99983144,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9815544,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9252943,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9901866,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.875598,0,imagenet,none,0,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99991715,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9998111,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.99503773,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9966241,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.99923015,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9994838,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99984884,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.999931,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9998041,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.9996722,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.99419713,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.99713033,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9951681,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.99999547,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.8200835,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9975019,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.91678405,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.9998171,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.99585825,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9999825,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.99651414,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.4723659,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.99991024,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.9982521,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.37505245,0,imagenet,none,0,none
densenet121,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.76313645,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.9919361,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.99872017,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.9949056,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.99984026,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.99982065,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.99994016,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.99999166,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.9999471,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.9979583,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.99794084,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.9952219,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.96869004,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.99932134,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.9927087,0,imagenet,none,0,none
densenet121,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.5524734,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.9999777,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.99995255,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.2818181,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.9976349,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.9468911,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.98380536,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.996942,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.3693487,1,imagenet,none,0,none
densenet121,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.9819983,1,imagenet,none,0,none
