model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.18543714,0,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.6800078,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,444,0.19199502,0,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9868283,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.51286167,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,314,0.072519474,0,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.992811,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9989943,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.99581146,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9990909,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,315,0.20719215,0,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9987172,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9995999,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9971917,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9983015,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.99981767,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9995763,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99248976,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.99999225,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.45792165,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.7636363,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.4375654,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9992041,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9950842,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.99998343,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,768,0.275678,0,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9002335,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,118,0.7606707,0,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.99975365,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.9191737,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9998393,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.7848373,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,522,0.26766875,0,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.9982186,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.9413671,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.6659076,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00037383.JPEG,n01440764,0,389,0.41215363,0,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.99850106,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.9408872,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.99250656,1,imagenet_c,defocus_blur,2,none
densenet121,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9997359,1,imagenet_c,defocus_blur,2,none
