model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,384,0.057750527,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,272,0.026015501,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,439,0.28010297,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,188,0.06457239,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,47,0.11456371,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,356,0.036159296,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,439,0.06108413,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,382,0.5974351,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,29,0.17455824,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,373,0.25832695,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,292,0.15159501,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,1,0.1654543,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,382,0.12316546,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,380,0.040264722,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,989,0.26257288,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.04342212,1,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,234,0.20190586,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,392,0.19652872,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,367,0.109593324,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,241,0.14160784,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,255,0.057076592,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,384,0.6284596,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,351,0.04285832,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,382,0.15751274,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,568,0.10404689,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,181,0.2538767,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,275,0.17131792,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,378,0.24129552,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,188,0.18930788,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,378,0.19988815,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.31114644,1,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,361,0.2394265,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,128,0.19699708,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00031333.JPEG,n01440764,0,103,0.0571854,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00034654.JPEG,n01440764,0,989,0.17355824,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00037375.JPEG,n01440764,0,646,0.04852374,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00037383.JPEG,n01440764,0,378,0.31277362,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00037596.JPEG,n01440764,0,356,0.1676496,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00037834.JPEG,n01440764,0,359,0.14981414,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00037861.JPEG,n01440764,0,181,0.39711708,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.17945667,1,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00040358.JPEG,n01440764,0,175,0.069464155,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00040833.JPEG,n01440764,0,189,0.05715278,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00041939.JPEG,n01440764,0,188,0.61137784,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.05392124,1,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00045880.JPEG,n01440764,0,371,0.14812762,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00046252.JPEG,n01440764,0,911,0.41990137,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00046499.JPEG,n01440764,0,382,0.22699949,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00048204.JPEG,n01440764,0,101,0.03957618,0,imagenet_c,glass_blur,5,none
densenet121,ILSVRC2012_val_00048969.JPEG,n01440764,0,373,0.46381038,0,imagenet_c,glass_blur,5,none
