model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,94,0.07330067,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,97,0.1559334,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,880,0.3221529,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8411886,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.5156913,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,641,0.093624614,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,518,0.1460953,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.99168444,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.994752,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.99718034,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,361,0.09272862,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9992551,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.99958116,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.23877275,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.99810684,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8724495,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.88632417,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9772793,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9993765,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,747,0.0932929,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.41492245,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,385,0.31112877,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9995648,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9963691,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.999933,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,768,0.7574305,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.92277914,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.98158157,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.99982506,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.6518575,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9770486,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.8557086,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,671,0.16337731,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.66946733,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.9250025,1,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00037375.JPEG,n01440764,0,382,0.0609032,0,imagenet_c,motion_blur,3,none
densenet121,ILSVRC2012_val_00037383.JPEG,n01440764,0,359,0.41709965,0,imagenet_c,motion_blur,3,none
