model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,319,0.22048014,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,19,0.11740608,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,522,0.30000994,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.66437113,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,749,0.22705975,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,134,0.20490317,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.20767348,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.97021604,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.70529467,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.5397503,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,103,0.1830318,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.96144253,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9091681,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,998,0.34023854,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.68747765,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.8040876,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,644,0.17305188,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.6214124,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.97928005,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,641,0.046965577,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,522,0.22132811,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.28710794,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.81877524,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9787708,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9915017,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,768,0.30838007,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,309,0.382552,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,328,0.68237555,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.5288633,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,328,0.24961257,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6409833,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,457,0.07985527,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,946,0.22618105,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.20111173,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.5185937,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00037375.JPEG,n01440764,0,904,0.045286626,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00037383.JPEG,n01440764,0,749,0.119455166,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7195965,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.972548,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.4805304,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9997893,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.97915673,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.8640288,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00041939.JPEG,n01440764,0,912,0.05113068,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.7314272,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.45505458,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.22971919,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.99422187,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.8708627,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.6050643,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00000236.JPEG,n01443537,1,644,0.2592044,0,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.5105058,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.9630267,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.75523394,1,imagenet_c,zoom_blur,5,none
densenet121,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.10581978,1,imagenet_c,zoom_blur,5,none
