model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,549,0.07274532,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,728,0.20852727,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,419,0.19683999,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,395,0.09680705,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,936,0.1256966,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,728,0.1940317,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,680,0.059815828,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,669,0.44840556,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,29,0.3268963,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,438,0.35753825,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,728,0.10990615,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,601,0.055341534,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,728,0.052852273,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,728,0.2819276,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,669,0.10370375,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,3,0.16481428,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,728,0.17390594,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,793,0.31894615,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,838,0.09121056,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,834,0.04075895,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,394,0.12340686,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,4,0.27742943,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,395,0.16137873,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7537372,1,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,885,0.0546131,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,29,0.40951842,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,601,0.22410886,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,419,0.28749326,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,47,0.08039271,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,680,0.047624335,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,149,0.5691509,0,imagenet_c,contrast,5,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,906,0.06343311,0,imagenet_c,contrast,5,none
