model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,29,0.49419945,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.3383953,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.21254933,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9994722,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.8671671,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.8797069,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9993849,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9871889,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.95594126,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9971035,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,36,0.17958328,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99995136,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.99996984,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.99705505,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.99935323,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.99928087,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.99961936,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9998485,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.99987125,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.877485,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.9993272,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.97655267,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.99852175,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.99717605,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.999997,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.7256533,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9976544,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.9172838,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.99951756,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.86012965,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.99956304,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.7389954,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,391,0.23402297,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.9402491,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.99595535,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.70629317,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00037383.JPEG,n01440764,0,394,0.4031699,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.85985553,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.95447034,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.9984529,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.99997795,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.98304385,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.9999943,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.9997806,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.9999629,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.9988605,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.65910006,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.9998271,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.958879,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.9999709,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.7278667,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.5082462,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.9999726,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.9946069,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00002241.JPEG,n01443537,1,766,0.4083526,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.8290377,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.4802482,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.5496037,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.98420954,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00004677.JPEG,n01443537,1,980,0.2196217,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00005870.JPEG,n01443537,1,927,0.44281015,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00006007.JPEG,n01443537,1,78,0.76611954,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.75907326,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9998504,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.9964521,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.9703527,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.99049264,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00012880.JPEG,n01443537,1,970,0.36144477,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.9665205,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00013623.JPEG,n01443537,1,794,0.32183203,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.37989166,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.9768286,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.97218984,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00020436.JPEG,n01443537,1,304,0.17363286,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.9978555,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.9793714,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.98157114,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.4935214,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.996938,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00028713.JPEG,n01443537,1,396,0.33552715,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.5267257,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.99589646,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.9795481,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.8734143,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.3647978,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.9655303,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.9919744,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00037846.JPEG,n01443537,1,512,0.13116083,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.5989221,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.19513245,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.9719569,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00046915.JPEG,n01443537,1,58,0.34506807,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.8157405,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.9655379,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.9196185,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.9998047,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00048864.JPEG,n01443537,1,949,0.25788793,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.16653736,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.7246546,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00049712.JPEG,n01443537,1,1,0.6685059,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.94670177,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.8569642,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00004311.JPEG,n01484850,2,394,0.44947878,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.9736449,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.3432993,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00008848.JPEG,n01484850,2,4,0.4554169,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.99172795,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00015157.JPEG,n01484850,2,147,0.50329685,0,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.8271438,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.97650015,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.96276677,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.74150616,1,imagenet_c,elastic_transform,3,none
densenet121,ILSVRC2012_val_00017105.JPEG,n01484850,2,735,0.17816843,0,imagenet_c,elastic_transform,3,none
