model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.5947231,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9370265,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.7106539,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.99966323,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.99205595,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,114,0.17022657,0,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9978631,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9663128,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9736564,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9988117,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.16888247,0,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.99952817,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9988379,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9848124,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.99900514,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.999328,1,imagenet_c,jpeg_compression,2,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9996774,1,imagenet_c,jpeg_compression,2,none
