model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.66049194,0,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.589282,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,739,0.21244776,0,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.98921555,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.97113276,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,634,0.12681608,0,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9950552,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.949668,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9551343,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.999458,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,362,0.0514149,0,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9975975,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.9980368,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.891706,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.99913967,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9994404,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.99994254,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99991596,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9999546,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9959151,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.8308167,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9839123,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9994085,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9690239,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9999801,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.53556675,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9949414,1,imagenet_c,pixelate,3,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.87130064,1,imagenet_c,pixelate,3,none
