model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.42150477,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.24947527,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.40482542,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9992518,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.99502426,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.72840124,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9911641,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.9815688,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.97525907,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9880675,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.42312214,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.9989329,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.99966466,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.9261334,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.96164674,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9895315,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.99884605,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99977106,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9999845,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.99392396,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.9948496,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9329464,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.9908921,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.99303716,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.999998,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.90123546,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.99628216,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.36138454,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.99933857,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.6014406,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.9999144,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.7216068,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,413,0.3663078,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.9988556,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.992677,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037375.JPEG,n01440764,0,391,0.34985238,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.557629,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.9782186,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.98298967,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.9816133,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.99988604,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.99885285,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.99988437,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.9995159,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.9997749,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.9991928,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.9503182,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.99918693,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.9539631,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.99883026,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.97313213,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00000262.JPEG,n01443537,1,395,0.35574985,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.998033,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.99517846,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00002241.JPEG,n01443537,1,5,0.20795232,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.9526319,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.6221107,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.9194158,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.8557984,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.34281087,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00005870.JPEG,n01443537,1,117,0.22730824,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00006007.JPEG,n01443537,1,78,0.56211936,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.97084177,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9995504,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00010363.JPEG,n01443537,1,78,0.1221495,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.641114,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.89009607,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00012880.JPEG,n01443537,1,403,0.40613377,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.99551755,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00013623.JPEG,n01443537,1,794,0.2736286,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.56119764,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.98968583,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.8456783,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00020436.JPEG,n01443537,1,4,0.2585579,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.98040044,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.9937628,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.9105953,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.84653866,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.8671536,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00028713.JPEG,n01443537,1,396,0.4884724,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00030060.JPEG,n01443537,1,556,0.21626808,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.9424613,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.74235475,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.8631056,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.90273297,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.98317194,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.9826559,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.19899192,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00038057.JPEG,n01443537,1,301,0.82766765,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.29791686,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.4690772,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00046915.JPEG,n01443537,1,328,0.62965095,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.617397,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.8938491,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.9902864,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.9993692,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00048864.JPEG,n01443537,1,952,0.20904621,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00049585.JPEG,n01443537,1,744,0.2923692,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.8490836,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00049712.JPEG,n01443537,1,1,0.29631683,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00002338.JPEG,n01484850,2,2,0.8226771,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00002752.JPEG,n01484850,2,3,0.55489266,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00004311.JPEG,n01484850,2,3,0.47352672,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.63685256,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00006491.JPEG,n01484850,2,3,0.7626356,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00008848.JPEG,n01484850,2,3,0.37245372,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.6640232,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00015157.JPEG,n01484850,2,148,0.78623706,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.48968416,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00016168.JPEG,n01484850,2,2,0.841639,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.5945772,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.7292293,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00017105.JPEG,n01484850,2,735,0.18638739,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.8869638,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00019409.JPEG,n01484850,2,147,0.31889614,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.8215944,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00020011.JPEG,n01484850,2,3,0.54177696,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00023185.JPEG,n01484850,2,4,0.4131838,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00024940.JPEG,n01484850,2,3,0.67805934,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00025900.JPEG,n01484850,2,3,0.67679846,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00027063.JPEG,n01484850,2,149,0.37951046,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.6728026,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00027514.JPEG,n01484850,2,3,0.7684492,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00028028.JPEG,n01484850,2,2,0.7264979,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00029481.JPEG,n01484850,2,2,0.9628575,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.5515948,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.7282709,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00031720.JPEG,n01484850,2,4,0.6312236,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00031808.JPEG,n01484850,2,2,0.9078088,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00032288.JPEG,n01484850,2,2,0.89341295,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00032417.JPEG,n01484850,2,3,0.83340544,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00034950.JPEG,n01484850,2,2,0.9514037,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00035223.JPEG,n01484850,2,2,0.4348931,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00035774.JPEG,n01484850,2,3,0.5462163,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00036737.JPEG,n01484850,2,3,0.35056913,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037050.JPEG,n01484850,2,2,0.58546656,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037135.JPEG,n01484850,2,2,0.9485144,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037488.JPEG,n01484850,2,2,0.7923296,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00037998.JPEG,n01484850,2,2,0.9396874,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00039304.JPEG,n01484850,2,2,0.65811855,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00039445.JPEG,n01484850,2,2,0.3333767,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00039534.JPEG,n01484850,2,2,0.2943964,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00039865.JPEG,n01484850,2,2,0.8635055,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00040098.JPEG,n01484850,2,4,0.60824394,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00040710.JPEG,n01484850,2,30,0.34733346,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00042345.JPEG,n01484850,2,4,0.86218196,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00044052.JPEG,n01484850,2,4,0.640288,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00044896.JPEG,n01484850,2,2,0.4527354,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00045730.JPEG,n01484850,2,3,0.6529494,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00046171.JPEG,n01484850,2,4,0.7832485,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00002922.JPEG,n01491361,3,3,0.91741884,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00002969.JPEG,n01491361,3,3,0.40639764,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00003183.JPEG,n01491361,3,2,0.47653422,0,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00003204.JPEG,n01491361,3,3,0.84451085,1,imagenet_c,gaussian_noise,1,none
densenet121,ILSVRC2012_val_00007743.JPEG,n01491361,3,3,0.9970607,1,imagenet_c,gaussian_noise,1,none
