model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.20535168,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,395,0.30615053,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,491,0.09527288,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,611,0.10055482,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,390,0.13407303,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,361,0.031477604,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,833,0.08581503,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,611,0.09773167,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.22721264,1,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.12041387,1,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,391,0.11847738,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.08792429,1,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.06468658,1,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,413,0.0729306,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,611,0.0914793,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.20957226,1,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,608,0.39034915,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.17880851,1,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,367,0.16401397,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,490,0.087047696,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,287,0.18276544,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,608,0.2967852,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.4402644,1,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,103,0.22595838,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.14728323,1,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,280,0.57425267,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,103,0.30245772,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,32,0.06864634,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,280,0.34194753,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,461,0.04572652,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,390,0.10992347,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,630,0.04721505,0,imagenet_c,impulse_noise,5,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,361,0.19768801,0,imagenet_c,impulse_noise,5,none
