model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
densenet121,ILSVRC2012_val_00000293.JPEG,n01440764,0,390,0.2636003,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00002138.JPEG,n01440764,0,391,0.78091997,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00003014.JPEG,n01440764,0,796,0.12529768,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.63742274,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00007197.JPEG,n01440764,0,390,0.2616503,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00009111.JPEG,n01440764,0,360,0.054543234,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00009191.JPEG,n01440764,0,413,0.13666908,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00009346.JPEG,n01440764,0,29,0.3180427,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.98622584,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.8145018,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00010306.JPEG,n01440764,0,124,0.72637045,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.92685676,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.95506257,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7264464,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9705147,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00016018.JPEG,n01440764,0,103,0.52866966,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.44335437,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.9897245,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.96676064,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.3523705,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00018317.JPEG,n01440764,0,801,0.21465746,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.48789075,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.8859737,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.38807014,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.9984883,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.553167,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.86570144,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00026064.JPEG,n01440764,0,32,0.3746801,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.8690562,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00028158.JPEG,n01440764,0,103,0.41031477,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.36793974,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00030740.JPEG,n01440764,0,394,0.28507856,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00031094.JPEG,n01440764,0,456,0.13515131,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00031333.JPEG,n01440764,0,608,0.27078307,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.301665,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00037375.JPEG,n01440764,0,845,0.08122235,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00037383.JPEG,n01440764,0,34,0.23731288,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.92813456,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.69121975,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.68516743,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.9969913,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.23763096,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.4968555,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00041939.JPEG,n01440764,0,183,0.08998962,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.9240057,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.9665062,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00046252.JPEG,n01440764,0,502,0.25365192,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.2594502,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.92024696,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.7980325,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.55488896,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00000262.JPEG,n01443537,1,395,0.598647,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00000307.JPEG,n01443537,1,105,0.038020823,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00000994.JPEG,n01443537,1,390,0.44004387,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00002241.JPEG,n01443537,1,43,0.12646678,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.93175906,1,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00003150.JPEG,n01443537,1,370,0.037451327,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00003735.JPEG,n01443537,1,76,0.14611094,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00004655.JPEG,n01443537,1,5,0.096514046,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00004677.JPEG,n01443537,1,123,0.537496,0,imagenet_c,shot_noise,3,none
densenet121,ILSVRC2012_val_00005870.JPEG,n01443537,1,78,0.18454209,0,imagenet_c,shot_noise,3,none
