model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b0,ILSVRC2012_val_00000293.JPEG,n01440764,0,395,0.1572258,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00002138.JPEG,n01440764,0,413,0.07873885,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00003014.JPEG,n01440764,0,573,0.18579666,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00006697.JPEG,n01440764,0,522,0.32289127,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00007197.JPEG,n01440764,0,940,0.043622497,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00009111.JPEG,n01440764,0,310,0.1394447,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.8554389,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.942091,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.96165013,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9201264,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00010306.JPEG,n01440764,0,674,0.078650855,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.70803034,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.93625414,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00012503.JPEG,n01440764,0,998,0.123630844,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.6534298,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.36961812,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.95343184,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00017699.JPEG,n01440764,0,29,0.26707676,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.9111095,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.3026689,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00018317.JPEG,n01440764,0,573,0.113549225,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00021740.JPEG,n01440764,0,608,0.053573225,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00023559.JPEG,n01440764,0,992,0.033065777,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.7041781,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.74124813,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00025129.JPEG,n01440764,0,522,0.26270434,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.5924062,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00026064.JPEG,n01440764,0,969,0.15420523,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6368537,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00028158.JPEG,n01440764,0,380,0.05026642,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.7553413,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00030740.JPEG,n01440764,0,389,0.03354106,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00031094.JPEG,n01440764,0,522,0.08726825,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.63275224,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.58492047,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00037375.JPEG,n01440764,0,852,0.036360882,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00037383.JPEG,n01440764,0,39,0.039649468,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.7508973,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.33078915,1,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00037861.JPEG,n01440764,0,522,0.1178594,0,imagenet_c,defocus_blur,3,none
efficientnet_b0,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.7902304,1,imagenet_c,defocus_blur,3,none
