model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b0,ILSVRC2012_val_00000293.JPEG,n01440764,0,852,0.08682856,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00002138.JPEG,n01440764,0,980,0.079703875,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00003014.JPEG,n01440764,0,552,0.07720214,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00006697.JPEG,n01440764,0,216,0.035456162,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00007197.JPEG,n01440764,0,941,0.09874023,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009111.JPEG,n01440764,0,974,0.0934965,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009191.JPEG,n01440764,0,101,0.06731796,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009346.JPEG,n01440764,0,1,0.2950002,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009379.JPEG,n01440764,0,971,0.050133295,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009396.JPEG,n01440764,0,989,0.13591143,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00010306.JPEG,n01440764,0,356,0.12677887,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00011233.JPEG,n01440764,0,1,0.20601296,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00011993.JPEG,n01440764,0,382,0.10743541,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00012503.JPEG,n01440764,0,384,0.060919568,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00013716.JPEG,n01440764,0,115,0.11277002,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00016018.JPEG,n01440764,0,149,0.16327834,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.1941197,1,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00017699.JPEG,n01440764,0,359,0.1756693,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00017700.JPEG,n01440764,0,911,0.21167573,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00017995.JPEG,n01440764,0,657,0.14849329,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00018317.JPEG,n01440764,0,586,0.033649888,0,imagenet_c,glass_blur,4,none
efficientnet_b0,ILSVRC2012_val_00021740.JPEG,n01440764,0,384,0.3535478,0,imagenet_c,glass_blur,4,none
