model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b0,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.52379173,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00002138.JPEG,n01440764,0,103,0.10199344,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00003014.JPEG,n01440764,0,671,0.2615875,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00006697.JPEG,n01440764,0,671,0.34091625,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00007197.JPEG,n01440764,0,36,0.124296285,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009111.JPEG,n01440764,0,103,0.15233803,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009191.JPEG,n01440764,0,671,0.29285738,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.59120274,1,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009379.JPEG,n01440764,0,671,0.3253492,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9005034,1,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00010306.JPEG,n01440764,0,676,0.10509671,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00011233.JPEG,n01440764,0,843,0.2083544,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00011993.JPEG,n01440764,0,671,0.2703112,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00012503.JPEG,n01440764,0,671,0.07928586,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00013716.JPEG,n01440764,0,671,0.523875,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00016018.JPEG,n01440764,0,103,0.3747691,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.06649968,1,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00017699.JPEG,n01440764,0,392,0.2195652,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00017700.JPEG,n01440764,0,768,0.6784817,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00017995.JPEG,n01440764,0,880,0.045719836,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.29804417,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00021740.JPEG,n01440764,0,489,0.11874607,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.05067743,1,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.8011343,1,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.67102927,1,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00025129.JPEG,n01440764,0,518,0.56413114,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00025527.JPEG,n01440764,0,103,0.8119626,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.29290855,1,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00026397.JPEG,n01440764,0,843,0.1709784,0,imagenet_c,motion_blur,4,none
efficientnet_b0,ILSVRC2012_val_00028158.JPEG,n01440764,0,367,0.44864145,0,imagenet_c,motion_blur,4,none
