model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b0,ILSVRC2012_val_00000293.JPEG,n01440764,0,103,0.4157143,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.5017447,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00003014.JPEG,n01440764,0,671,0.3923603,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.8331561,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.2478063,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00009111.JPEG,n01440764,0,356,0.061226018,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.9091317,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.83179396,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9605586,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9574138,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00010306.JPEG,n01440764,0,749,0.08036599,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.50870264,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.70084435,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00012503.JPEG,n01440764,0,955,0.27076134,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9723617,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7604374,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.80542874,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00017699.JPEG,n01440764,0,392,0.30426967,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.842199,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.5273403,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00018317.JPEG,n01440764,0,671,0.46897814,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00021740.JPEG,n01440764,0,359,0.13057913,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.66421753,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.762542,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.83701605,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.81484604,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00025527.JPEG,n01440764,0,103,0.1283574,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.33048773,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.15805396,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00028158.JPEG,n01440764,0,380,0.13418843,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00029930.JPEG,n01440764,0,259,0.2284802,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.19269952,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00031094.JPEG,n01440764,0,456,0.16990428,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.9253726,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.06262958,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037375.JPEG,n01440764,0,904,0.5774946,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037383.JPEG,n01440764,0,389,0.124530725,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.8026915,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.90682733,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.9802756,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.8813538,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.927125,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.84225047,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00041939.JPEG,n01440764,0,671,0.20617996,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.6210185,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.88720113,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.1883486,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.77893037,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.88939863,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.9459495,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00000236.JPEG,n01443537,1,115,0.4198679,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.23622541,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.9680323,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.93597734,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.2416341,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.3373343,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.953615,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.93756086,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.83983475,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00004677.JPEG,n01443537,1,989,0.11385806,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00005870.JPEG,n01443537,1,111,0.2642233,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00006007.JPEG,n01443537,1,1,0.32252485,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.9369312,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.9835329,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.8886125,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00010509.JPEG,n01443537,1,8,0.24207495,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.7950067,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00012880.JPEG,n01443537,1,409,0.17586863,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.93326515,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.4674832,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.93330836,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.9268063,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00019459.JPEG,n01443537,1,73,0.19645265,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00020436.JPEG,n01443537,1,108,0.2668494,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00020785.JPEG,n01443537,1,151,0.053554248,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.888243,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.99103457,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00022138.JPEG,n01443537,1,328,0.96355814,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.8925067,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00028713.JPEG,n01443537,1,396,0.3777689,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.52046186,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.9381719,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.9390166,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.8356296,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.50600606,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.9505413,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.9498671,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037846.JPEG,n01443537,1,749,0.20810089,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00038057.JPEG,n01443537,1,374,0.13514684,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00044095.JPEG,n01443537,1,1,0.8134303,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00045761.JPEG,n01443537,1,1,0.97382855,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00046915.JPEG,n01443537,1,1,0.4578274,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00046969.JPEG,n01443537,1,1,0.5271381,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00047396.JPEG,n01443537,1,1,0.93321353,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00047561.JPEG,n01443537,1,1,0.90685225,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00048840.JPEG,n01443537,1,1,0.954635,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00048864.JPEG,n01443537,1,90,0.16070351,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00049585.JPEG,n01443537,1,1,0.9787628,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00049617.JPEG,n01443537,1,1,0.8996681,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00049712.JPEG,n01443537,1,392,0.121984065,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00002338.JPEG,n01484850,2,4,0.5360454,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00002752.JPEG,n01484850,2,2,0.5267333,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00004311.JPEG,n01484850,2,149,0.27125502,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00004329.JPEG,n01484850,2,2,0.72988325,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00006491.JPEG,n01484850,2,2,0.7388589,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00008848.JPEG,n01484850,2,2,0.42838427,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00014467.JPEG,n01484850,2,2,0.09649829,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00015157.JPEG,n01484850,2,814,0.5900905,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00015220.JPEG,n01484850,2,2,0.5316293,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00016168.JPEG,n01484850,2,152,0.14779426,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00016859.JPEG,n01484850,2,2,0.75921595,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00016988.JPEG,n01484850,2,2,0.47259328,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00017105.JPEG,n01484850,2,643,0.20734003,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00017194.JPEG,n01484850,2,2,0.3916659,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00019409.JPEG,n01484850,2,2,0.64548767,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00019435.JPEG,n01484850,2,2,0.91686684,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00020011.JPEG,n01484850,2,2,0.34026,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00023185.JPEG,n01484850,2,2,0.35431567,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00024940.JPEG,n01484850,2,2,0.41543353,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00025900.JPEG,n01484850,2,3,0.5349419,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00027063.JPEG,n01484850,2,332,0.21989486,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00027419.JPEG,n01484850,2,2,0.7385313,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00027514.JPEG,n01484850,2,3,0.30497906,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00028028.JPEG,n01484850,2,2,0.61515635,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00029481.JPEG,n01484850,2,3,0.28385672,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00030127.JPEG,n01484850,2,2,0.40553257,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00031466.JPEG,n01484850,2,2,0.4033659,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00031720.JPEG,n01484850,2,664,0.069692165,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00031808.JPEG,n01484850,2,429,0.64761496,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00032288.JPEG,n01484850,2,2,0.49371052,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00032417.JPEG,n01484850,2,309,0.14572248,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00034950.JPEG,n01484850,2,2,0.44867882,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00035223.JPEG,n01484850,2,921,0.11533193,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00035774.JPEG,n01484850,2,2,0.560792,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00036737.JPEG,n01484850,2,2,0.39955518,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037050.JPEG,n01484850,2,980,0.054611433,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037135.JPEG,n01484850,2,2,0.59945047,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037488.JPEG,n01484850,2,2,0.47823745,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00037998.JPEG,n01484850,2,2,0.64328116,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00039304.JPEG,n01484850,2,332,0.51568925,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00039445.JPEG,n01484850,2,2,0.6048665,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00039534.JPEG,n01484850,2,333,0.29101825,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00039865.JPEG,n01484850,2,4,0.6046975,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00040098.JPEG,n01484850,2,3,0.393137,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00040710.JPEG,n01484850,2,2,0.5443869,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00042345.JPEG,n01484850,2,589,0.2210456,0,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00044052.JPEG,n01484850,2,2,0.32892358,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00044896.JPEG,n01484850,2,2,0.45230773,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00045730.JPEG,n01484850,2,2,0.49544293,1,imagenet_c,zoom_blur,2,none
efficientnet_b0,ILSVRC2012_val_00046171.JPEG,n01484850,2,148,0.5046598,0,imagenet_c,zoom_blur,2,none
