model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.50922674,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.9689237,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,391,0.3286196,0,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.9815137,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.9844328,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.9670419,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.97702926,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.98357165,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.9672337,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.9778521,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.9959793,0,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.988577,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.98859733,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.97568864,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.9734135,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.9899858,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.9896741,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.99029034,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.98976177,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.9820312,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.9658889,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.9829889,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.99006534,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.9778667,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.99063045,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.9443622,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.9916795,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.83727205,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.98712766,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.98179793,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.98431605,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.9912316,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.52617645,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.99033874,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.98772675,1,imagenet,none,0,none
efficientnet_b4,ILSVRC2012_val_00037375.JPEG,n01440764,0,758,0.97697824,0,imagenet,none,0,none
