model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,111,0.116577275,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,394,0.065182656,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,977,0.06926768,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,92,0.0557773,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,111,0.07376156,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,744,0.0633809,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,701,0.03264128,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.13370803,1,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.42190114,1,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.47997734,1,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,395,0.03420391,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.68423605,1,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,111,0.02344189,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.11950897,1,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.17990004,1,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,149,0.21264571,0,imagenet_c,contrast,5,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,701,0.049555272,0,imagenet_c,contrast,5,none
