model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,0,0.47246552,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.30567965,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.19859318,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6687044,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.69807464,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.6267125,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.65185463,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7103362,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.76859474,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.76275635,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.4044836,0,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.7179587,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.74602807,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7087461,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.72614753,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.700591,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.69585073,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.73540324,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.68456984,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.5656788,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.72417986,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.6441917,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.6912614,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6374331,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.7076407,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.74467915,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.75129014,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.5898982,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.6872728,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.35699645,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.6181031,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.7062809,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.6536713,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.7155691,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.73779964,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.2974125,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.58319765,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.6656452,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7107165,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.695283,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.6601747,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.6775623,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.6952203,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.6245783,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.65549344,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.70377344,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.7184571,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.6797203,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.75682384,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.7025684,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00000236.JPEG,n01443537,1,29,0.22328155,0,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00000262.JPEG,n01443537,1,149,0.12399097,0,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.56594825,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.53637654,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00002241.JPEG,n01443537,1,1,0.108501114,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.5834189,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.5792706,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.48457083,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00004655.JPEG,n01443537,1,149,0.08165238,0,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.55896443,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00005870.JPEG,n01443537,1,1,0.7141039,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.43520132,0,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.6707741,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.5726802,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.6250733,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.45798844,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.8664089,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00012880.JPEG,n01443537,1,1,0.1544074,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.33080673,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.62269783,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.33911002,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.5141062,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.5429607,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00020436.JPEG,n01443537,1,6,0.20848382,0,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.721576,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.63406533,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.5895431,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.55232424,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.61985284,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00028713.JPEG,n01443537,1,1,0.571714,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00030060.JPEG,n01443537,1,868,0.2258952,0,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.57069975,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.55649436,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.44982812,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.6569407,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00032675.JPEG,n01443537,1,1,0.57097936,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00034386.JPEG,n01443537,1,1,0.5403122,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00037846.JPEG,n01443537,1,1,0.3041796,1,imagenet_c,contrast,2,none
efficientnet_b4,ILSVRC2012_val_00038057.JPEG,n01443537,1,1,0.36985013,1,imagenet_c,contrast,2,none
