model,image,synset,y_true,y_pred,confidence,is_correct,dataset_type,corruption,severity,perturbation
efficientnet_b4,ILSVRC2012_val_00000293.JPEG,n01440764,0,394,0.69340265,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00002138.JPEG,n01440764,0,0,0.11899051,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00003014.JPEG,n01440764,0,0,0.19090676,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00006697.JPEG,n01440764,0,0,0.6547663,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00007197.JPEG,n01440764,0,0,0.7700386,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00009111.JPEG,n01440764,0,0,0.64897037,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00009191.JPEG,n01440764,0,0,0.6505464,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00009346.JPEG,n01440764,0,0,0.7149676,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00009379.JPEG,n01440764,0,0,0.7284492,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00009396.JPEG,n01440764,0,0,0.73918575,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00010306.JPEG,n01440764,0,133,0.22150016,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00011233.JPEG,n01440764,0,0,0.73290014,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00011993.JPEG,n01440764,0,0,0.76703733,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00012503.JPEG,n01440764,0,0,0.7449068,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00013716.JPEG,n01440764,0,0,0.7392274,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00016018.JPEG,n01440764,0,0,0.7102727,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00017472.JPEG,n01440764,0,0,0.626681,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00017699.JPEG,n01440764,0,0,0.70444757,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00017700.JPEG,n01440764,0,0,0.7045413,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00017995.JPEG,n01440764,0,0,0.65984875,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00018317.JPEG,n01440764,0,0,0.6348959,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00021740.JPEG,n01440764,0,0,0.7488593,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00023559.JPEG,n01440764,0,0,0.65901333,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00024235.JPEG,n01440764,0,0,0.6992745,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00024327.JPEG,n01440764,0,0,0.6660541,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00025129.JPEG,n01440764,0,0,0.62939924,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00025527.JPEG,n01440764,0,0,0.7411578,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00026064.JPEG,n01440764,0,0,0.66480863,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00026397.JPEG,n01440764,0,0,0.7024835,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00028158.JPEG,n01440764,0,0,0.53349847,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00029930.JPEG,n01440764,0,0,0.58352816,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00030740.JPEG,n01440764,0,0,0.72613716,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00031094.JPEG,n01440764,0,0,0.60212785,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00031333.JPEG,n01440764,0,0,0.75326836,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00034654.JPEG,n01440764,0,0,0.81085336,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00037375.JPEG,n01440764,0,0,0.33964798,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00037383.JPEG,n01440764,0,0,0.16288316,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00037596.JPEG,n01440764,0,0,0.6878176,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00037834.JPEG,n01440764,0,0,0.7998053,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00037861.JPEG,n01440764,0,0,0.65277255,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00039905.JPEG,n01440764,0,0,0.66993964,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00040358.JPEG,n01440764,0,0,0.69568485,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00040833.JPEG,n01440764,0,0,0.6961623,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00041939.JPEG,n01440764,0,0,0.7232361,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00045866.JPEG,n01440764,0,0,0.6830819,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00045880.JPEG,n01440764,0,0,0.6972263,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00046252.JPEG,n01440764,0,0,0.6727613,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00046499.JPEG,n01440764,0,0,0.72084206,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00048204.JPEG,n01440764,0,0,0.69605184,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00048969.JPEG,n01440764,0,0,0.6944486,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00000236.JPEG,n01443537,1,657,0.32547364,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00000262.JPEG,n01443537,1,1,0.23395443,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00000307.JPEG,n01443537,1,1,0.57154393,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00000994.JPEG,n01443537,1,1,0.426493,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00002241.JPEG,n01443537,1,103,0.0835647,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00002848.JPEG,n01443537,1,1,0.256962,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00003150.JPEG,n01443537,1,1,0.5314043,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00003735.JPEG,n01443537,1,1,0.47541133,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00004655.JPEG,n01443537,1,1,0.391711,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00004677.JPEG,n01443537,1,1,0.7170586,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00005870.JPEG,n01443537,1,927,0.10610246,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00006007.JPEG,n01443537,1,111,0.26580426,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00006216.JPEG,n01443537,1,1,0.66383946,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00009034.JPEG,n01443537,1,1,0.5531394,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00010363.JPEG,n01443537,1,1,0.55164903,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00010509.JPEG,n01443537,1,1,0.5675827,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00011914.JPEG,n01443537,1,1,0.77491796,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00012880.JPEG,n01443537,1,980,0.37907144,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00013513.JPEG,n01443537,1,1,0.28676802,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00013623.JPEG,n01443537,1,1,0.66445136,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00016962.JPEG,n01443537,1,1,0.74225533,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00018075.JPEG,n01443537,1,1,0.48886463,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00019459.JPEG,n01443537,1,1,0.56472325,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00020436.JPEG,n01443537,1,6,0.37468186,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00020785.JPEG,n01443537,1,1,0.6897434,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00020822.JPEG,n01443537,1,1,0.5589947,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00021905.JPEG,n01443537,1,1,0.74483186,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00022138.JPEG,n01443537,1,1,0.7362915,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00023869.JPEG,n01443537,1,1,0.6069415,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00028713.JPEG,n01443537,1,396,0.2385541,0,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00030060.JPEG,n01443537,1,1,0.2117521,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00030217.JPEG,n01443537,1,1,0.6582248,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00031138.JPEG,n01443537,1,1,0.465846,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00032235.JPEG,n01443537,1,1,0.33743656,1,imagenet_c,elastic_transform,3,none
efficientnet_b4,ILSVRC2012_val_00032258.JPEG,n01443537,1,1,0.52068603,1,imagenet_c,elastic_transform,3,none
